seq_id,msg_type,event,stamp_send,stamp_recv,delay_s,buffer_size 
0,joint_state,enqueue,495.434000,495.434000,0.000000,1
1,joint_state,enqueue,495.467000,495.467000,0.000000,2
2,joint_state,enqueue,495.500000,495.500000,0.000000,3
3,joint_state,enqueue,495.534000,495.534000,0.000000,4
4,joint_state,dequeue,495.434000,495.538000,0.104000,3
5,joint_state,dequeue,495.467000,495.538000,0.071000,2
6,joint_state,dequeue,495.500000,495.538000,0.038000,1
7,joint_state,dequeue,495.534000,495.538000,0.004000,0
8,joint_state,enqueue,495.567000,495.567000,0.000000,1
9,joint_state,dequeue,495.567000,495.569000,0.002000,0
10,joint_state,enqueue,495.600000,495.600000,0.000000,1
11,joint_state,dequeue,495.600000,495.601000,0.001000,0
12,joint_state,enqueue,495.634000,495.634000,0.000000,1
13,joint_state,dequeue,495.634000,495.635000,0.001000,0
14,joint_state,enqueue,495.667000,495.667000,0.000000,1
15,joint_state,dequeue,495.667000,495.669000,0.002000,0
16,joint_state,enqueue,495.700000,495.700000,0.000000,1
17,joint_state,dequeue,495.700000,495.701000,0.001000,0
18,joint_state,enqueue,495.734000,495.734000,0.000000,1
19,joint_state,dequeue,495.734000,495.735000,0.001000,0
20,joint_state,enqueue,495.767000,495.767000,0.000000,1
21,joint_state,dequeue,495.767000,495.767000,0.000000,0
22,joint_state,enqueue,495.800000,495.800000,0.000000,1
23,joint_state,dequeue,495.800000,495.801000,0.001000,0
24,joint_state,enqueue,495.834000,495.834000,0.000000,1
25,joint_state,dequeue,495.834000,495.835000,0.001000,0
26,joint_state,enqueue,495.867000,495.867000,0.000000,1
27,joint_state,dequeue,495.867000,495.867000,0.000000,0
28,joint_state,enqueue,495.900000,495.900000,0.000000,1
29,joint_state,dequeue,495.900000,495.901000,0.001000,0
30,joint_state,enqueue,495.934000,495.934000,0.000000,1
31,joint_state,dequeue,495.934000,495.935000,0.001000,0
32,joint_state,enqueue,495.967000,495.967000,0.000000,1
33,joint_state,dequeue,495.967000,495.969000,0.002000,0
34,joint_state,enqueue,496.000000,496.000000,0.000000,1
35,joint_state,dequeue,496.000000,496.001000,0.001000,0
36,joint_state,enqueue,496.034000,496.034000,0.000000,1
37,joint_state,dequeue,496.034000,496.036000,0.002000,0
38,joint_state,enqueue,496.067000,496.067000,0.000000,1
39,joint_state,dequeue,496.067000,496.069000,0.002000,0
40,joint_state,enqueue,496.100000,496.100000,0.000000,1
41,joint_state,dequeue,496.100000,496.101000,0.001000,0
42,joint_state,enqueue,496.134000,496.134000,0.000000,1
43,joint_state,dequeue,496.134000,496.135000,0.001000,0
44,joint_state,enqueue,496.167000,496.167000,0.000000,1
45,joint_state,dequeue,496.167000,496.167000,0.000000,0
46,joint_state,enqueue,496.200000,496.200000,0.000000,1
47,joint_state,dequeue,496.200000,496.201000,0.001000,0
48,joint_state,enqueue,496.234000,496.234000,0.000000,1
49,joint_state,dequeue,496.234000,496.235000,0.001000,0
50,joint_state,enqueue,496.267000,496.267000,0.000000,1
51,joint_state,dequeue,496.267000,496.267000,0.000000,0
52,joint_state,enqueue,496.300000,496.300000,0.000000,1
53,joint_state,dequeue,496.300000,496.301000,0.001000,0
54,joint_state,enqueue,496.334000,496.334000,0.000000,1
55,joint_state,dequeue,496.334000,496.335000,0.001000,0
56,joint_state,enqueue,496.367000,496.367000,0.000000,1
57,joint_state,dequeue,496.367000,496.368000,0.001000,0
