seq_id,msg_type,event,stamp_send,stamp_recv,delay_s,buffer_size 
0,joint_state,recv,9.080000,9.081000,0.001000,1
1,joint_state,recv,9.080000,9.081000,0.001000,2
2,joint_state,recv,9.102000,9.102000,0.000000,3
3,joint_state,recv,9.134000,9.135000,0.001000,4
4,joint_state,recv,9.168000,9.168000,0.000000,5
5,joint_state,recv,9.202000,9.202000,0.000000,6
6,joint_state,recv,9.234000,9.234000,0.000000,7
7,joint_state,recv,9.268000,9.268000,0.000000,8
8,joint_state,recv,9.300000,9.301000,0.001000,9
9,joint_state,recv,9.334000,9.334000,0.000000,10
10,joint_state,recv,9.368000,9.369000,0.001000,11
11,joint_state,recv,9.402000,9.402000,0.000000,12
12,joint_state,recv,9.436000,9.436000,0.000000,13
13,joint_state,recv,9.468000,9.468000,0.000000,14
14,joint_state,recv,9.500000,9.501000,0.001000,15
15,joint_state,recv,9.536000,9.536000,0.000000,16
16,joint_state,recv,9.568000,9.568000,0.000000,17
17,joint_state,recv,9.601000,9.601000,0.000000,18
18,joint_state,recv,9.634000,9.635000,0.001000,19
19,joint_state,recv,9.668000,9.668000,0.000000,20
20,joint_state,recv,9.701000,9.701000,0.000000,21
21,joint_state,recv,9.736000,9.736000,0.000000,22
22,joint_state,recv,9.768000,9.768000,0.000000,23
23,joint_state,recv,9.802000,9.802000,0.000000,24
24,joint_state,recv,9.836000,9.836000,0.000000,25
25,joint_state,recv,9.868000,9.869000,0.001000,26
26,joint_state,recv,9.902000,9.902000,0.000000,27
27,joint_state,recv,9.934000,9.934000,0.000000,28
28,joint_state,recv,9.968000,9.968000,0.000000,29
29,joint_state,recv,10.000000,10.000000,0.000000,30
30,joint_state,recv,10.035000,10.035000,0.000000,31
31,joint_state,recv,10.068000,10.068000,0.000000,32
32,joint_state,recv,10.100000,10.100000,0.000000,33
33,joint_state,recv,10.134000,10.134000,0.000000,34
34,joint_state,recv,10.169000,10.169000,0.000000,35
35,joint_state,recv,10.202000,10.202000,0.000000,36
36,joint_state,recv,10.234000,10.234000,0.000000,37
37,joint_state,recv,10.268000,10.268000,0.000000,38
38,joint_state,recv,10.300000,10.301000,0.001000,39
39,joint_state,recv,10.336000,10.336000,0.000000,40
40,joint_state,recv,10.368000,10.368000,0.000000,41
41,joint_state,recv,10.402000,10.403000,0.001000,42
