timestamp,error_xy,dx,dy,cube_x,cube_y,cube_z,ee_x,ee_y,ee_z,confidence,control_mode
21.229000,0.306894,-0.306894,-0.000028,0.000000,0.000000,0.000000,0.306894,0.000028,0.486880,0.000000,manual
21.721000,0.306893,-0.306893,-0.000029,0.000000,0.000000,0.000000,0.306893,0.000029,0.486881,0.000000,manual
21.750000,0.307688,-0.307688,-0.000056,0.000000,0.000000,0.000000,0.307688,0.000056,0.486945,0.000000,manual
21.780000,0.309552,-0.309552,-0.000187,0.000000,0.000000,0.000000,0.309552,0.000187,0.486955,0.000000,manual
21.810000,0.311562,-0.311561,-0.000392,0.000000,0.000000,0.000000,0.311561,0.000392,0.486835,0.000000,manual
21.841000,0.313688,-0.313688,-0.000621,0.000000,0.000000,0.000000,0.313688,0.000621,0.486653,0.000000,manual
21.871000,0.315731,-0.315729,-0.000829,0.000000,0.000000,0.000000,0.315729,0.000829,0.486471,0.000000,manual
21.902000,0.317775,-0.317774,-0.001007,0.000000,0.000000,0.000000,0.317774,0.001007,0.486309,0.000000,manual
21.932000,0.319651,-0.319649,-0.001125,0.000000,0.000000,0.000000,0.319649,0.001125,0.486190,0.000000,manual
21.962000,0.321409,-0.321407,-0.001190,0.000000,0.000000,0.000000,0.321407,0.001190,0.486116,0.000000,manual
21.991000,0.322931,-0.322928,-0.001204,0.000000,0.000000,0.000000,0.322928,0.001204,0.486088,0.000000,manual
22.020000,0.324433,-0.324430,-0.001171,0.000000,0.000000,0.000000,0.324430,0.001171,0.486097,0.000000,manual
22.052000,0.325887,-0.325886,-0.001090,0.000000,0.000000,0.000000,0.325886,0.001090,0.486145,0.000000,manual
22.081000,0.327032,-0.327031,-0.000989,0.000000,0.000000,0.000000,0.327031,0.000989,0.486213,0.000000,manual
22.107000,0.328034,-0.328033,-0.000868,0.000000,0.000000,0.000000,0.328033,0.000868,0.486296,0.000000,manual
22.134000,0.328898,-0.328897,-0.000737,0.000000,0.000000,0.000000,0.328897,0.000737,0.486383,0.000000,manual
22.159000,0.329650,-0.329649,-0.000604,0.000000,0.000000,0.000000,0.329649,0.000604,0.486476,0.000000,manual
22.185000,0.330377,-0.330376,-0.000456,0.000000,0.000000,0.000000,0.330376,0.000456,0.486584,0.000000,manual
22.215000,0.331084,-0.331084,-0.000290,0.000000,0.000000,0.000000,0.331084,0.000290,0.486700,0.000000,manual
22.244000,0.331870,-0.331870,-0.000135,0.000000,0.000000,0.000000,0.331870,0.000135,0.486818,0.000000,manual
22.273000,0.332823,-0.332823,-0.000018,0.000000,0.000000,0.000000,0.332823,0.000018,0.486923,0.000000,manual
22.303000,0.333969,-0.333969,0.000064,0.000000,0.000000,0.000000,0.333969,-0.000064,0.487001,0.000000,manual
22.333000,0.335281,-0.335281,0.000104,0.000000,0.000000,0.000000,0.335281,-0.000104,0.487044,0.000000,manual
22.362000,0.336715,-0.336715,0.000105,0.000000,0.000000,0.000000,0.336715,-0.000105,0.487059,0.000000,manual
22.392000,0.338352,-0.338352,0.000073,0.000000,0.000000,0.000000,0.338352,-0.000073,0.487043,0.000000,manual
22.422000,0.340091,-0.340091,0.000016,0.000000,0.000000,0.000000,0.340091,-0.000016,0.487002,0.000000,manual
22.452000,0.341899,-0.341899,-0.000054,0.000000,0.000000,0.000000,0.341899,0.000054,0.486950,0.000000,manual
22.482000,0.343977,-0.343977,-0.000144,0.000000,0.000000,0.000000,0.343977,0.000144,0.486891,0.000000,manual
22.512000,0.346170,-0.346170,-0.000239,0.000000,0.000000,0.000000,0.346170,0.000239,0.486832,0.000000,manual
