seq_id,msg_type,event,stamp_send,stamp_recv,delay_s,buffer_size 
0,joint_state,recv,1757406984.404838,1757406984.405019,0.000181,1
1,joint_state,recv,1757406984.436785,1757406984.436914,0.000129,2
2,joint_state,recv,1757406984.470790,1757406984.470993,0.000203,3
3,joint_state,recv,1757406984.502809,1757406984.502993,0.000184,4
4,joint_state,recv,1757406984.536843,1757406984.537061,0.000218,5
5,joint_state,recv,1757406984.570786,1757406984.570954,0.000168,6
6,joint_state,recv,1757406984.602873,1757406984.603150,0.000277,7
7,joint_state,recv,1757406984.636816,1757406984.637053,0.000237,8
8,joint_state,recv,1757406984.670751,1757406984.671005,0.000254,9
9,joint_state,recv,1757406984.704827,1757406984.705090,0.000263,10
10,joint_state,recv,1757406984.736842,1757406984.737112,0.000270,11
11,joint_state,recv,1757406984.770829,1757406984.771053,0.000224,12
12,joint_state,recv,1757406984.804842,1757406984.805105,0.000263,13
13,joint_state,recv,1757406984.836816,1757406984.837168,0.000352,14
14,joint_state,recv,1757406984.870837,1757406984.871075,0.000238,15
15,joint_state,recv,1757406984.904824,1757406984.905028,0.000204,16
16,joint_state,recv,1757406984.936797,1757406984.937006,0.000209,17
17,joint_state,recv,1757406984.970789,1757406984.971028,0.000239,18
18,joint_state,recv,1757406985.004785,1757406985.005026,0.000241,19
19,joint_state,recv,1757406985.036794,1757406985.036996,0.000202,20
20,joint_state,recv,1757406985.070851,1757406985.071081,0.000230,21
21,joint_state,recv,1757406985.104850,1757406985.105188,0.000338,22
22,joint_state,recv,1757406985.136839,1757406985.137129,0.000290,23
23,joint_state,recv,1757406985.170824,1757406985.171099,0.000275,24
24,joint_state,recv,1757406985.204825,1757406985.205077,0.000253,25
25,joint_state,recv,1757406985.236797,1757406985.237052,0.000255,26
26,joint_state,recv,1757406985.270856,1757406985.271061,0.000205,27
27,joint_state,recv,1757406985.304852,1757406985.305088,0.000236,28
28,joint_state,recv,1757406985.336807,1757406985.337024,0.000217,29
29,joint_state,recv,1757406985.370819,1757406985.371027,0.000208,30
30,joint_state,recv,1757406985.404796,1757406985.405063,0.000267,31
31,joint_state,recv,1757406985.436748,1757406985.437075,0.000328,32
32,joint_state,recv,1757406985.470824,1757406985.471014,0.000191,33
33,joint_state,recv,1757406985.504805,1757406985.505036,0.000231,34
34,joint_state,recv,1757406985.536794,1757406985.536999,0.000204,35
35,joint_state,recv,1757406985.570787,1757406985.571016,0.000229,36
36,joint_state,recv,1757406985.604857,1757406985.605095,0.000238,37
37,joint_state,recv,1757406985.636822,1757406985.637016,0.000194,38
38,joint_state,recv,1757406985.670779,1757406985.671029,0.000250,39
39,joint_state,recv,1757406985.704818,1757406985.705032,0.000215,40
40,joint_state,recv,1757406985.736844,1757406985.737069,0.000225,41
41,joint_state,recv,1757406985.770790,1757406985.770988,0.000197,42
42,joint_state,recv,1757406985.804852,1757406985.805070,0.000217,43
43,joint_state,recv,1757406985.836811,1757406985.836949,0.000138,44
44,joint_state,recv,1757406985.870871,1757406985.871098,0.000227,45
45,joint_state,recv,1757406985.904873,1757406985.905039,0.000165,46
46,joint_state,recv,1757406985.936789,1757406985.936939,0.000150,47
47,joint_state,recv,1757406985.970815,1757406985.971040,0.000224,48
48,joint_state,recv,1757406986.004743,1757406986.004918,0.000174,49
49,joint_state,recv,1757406986.036811,1757406986.036978,0.000167,50
50,joint_state,recv,1757406986.070782,1757406986.070942,0.000160,51
51,joint_state,recv,1757406986.104845,1757406986.105050,0.000205,52
52,joint_state,recv,1757406986.136855,1757406986.137063,0.000208,53
53,joint_state,recv,1757406986.170797,1757406986.171008,0.000211,54
54,joint_state,recv,1757406986.204847,1757406986.205047,0.000200,55
55,joint_state,recv,1757406986.236799,1757406986.237026,0.000228,56
56,joint_state,recv,1757406986.270796,1757406986.271049,0.000253,57
57,joint_state,recv,1757406986.304795,1757406986.305046,0.000251,58
58,joint_state,recv,1757406986.336856,1757406986.337110,0.000253,59
59,joint_state,recv,1757406986.370803,1757406986.371094,0.000291,60
60,joint_state,recv,1757406986.404877,1757406986.405103,0.000225,61
61,joint_state,recv,1757406986.436795,1757406986.437047,0.000251,62
62,joint_state,recv,1757406986.470799,1757406986.471045,0.000246,63
63,joint_state,recv,1757406986.504826,1757406986.505045,0.000219,64
64,joint_state,recv,1757406986.536794,1757406986.537032,0.000239,65
65,joint_state,recv,1757406986.570839,1757406986.571096,0.000257,66
66,joint_state,recv,1757406986.604820,1757406986.605115,0.000294,67
67,joint_state,recv,1757406986.636834,1757406986.637085,0.000252,68
68,joint_state,recv,1757406986.670798,1757406986.671018,0.000220,69
69,joint_state,recv,1757406986.704843,1757406986.705114,0.000272,70
70,joint_state,recv,1757406986.736856,1757406986.737093,0.000237,71
71,joint_state,recv,1757406986.770809,1757406986.771057,0.000248,72
72,joint_state,recv,1757406986.804857,1757406986.805148,0.000291,73
73,joint_state,recv,1757406986.837109,1757406986.837363,0.000254,74
74,joint_state,recv,1757406986.870840,1757406986.871032,0.000192,75
75,joint_state,recv,1757406986.904810,1757406986.904999,0.000189,76
76,joint_state,recv,1757406986.936854,1757406986.937073,0.000219,77
77,joint_state,recv,1757406986.970839,1757406986.971156,0.000317,78
78,joint_state,recv,1757406987.004748,1757406987.004990,0.000242,79
79,joint_state,recv,1757406987.036779,1757406987.036999,0.000220,80
80,joint_state,recv,1757406987.070796,1757406987.071034,0.000238,81
81,joint_state,recv,1757406987.104820,1757406987.105045,0.000225,82
82,joint_state,recv,1757406987.136748,1757406987.136968,0.000220,83
83,joint_state,recv,1757406987.170855,1757406987.171079,0.000224,84
84,joint_state,recv,1757406987.204762,1757406987.205057,0.000295,85
85,joint_state,recv,1757406987.237227,1757406987.237533,0.000306,86
86,joint_state,recv,1757406987.270829,1757406987.271062,0.000233,87
87,joint_state,recv,1757406987.304830,1757406987.305074,0.000245,88
88,joint_state,recv,1757406987.336804,1757406987.337074,0.000270,89
89,joint_state,recv,1757406987.370993,1757406987.371227,0.000234,90
90,joint_state,recv,1757406987.404788,1757406987.404959,0.000172,91
91,joint_state,recv,1757406987.436812,1757406987.437038,0.000226,92
92,joint_state,recv,1757406987.470818,1757406987.471038,0.000220,93
93,joint_state,recv,1757406987.504850,1757406987.505195,0.000345,94
94,joint_state,recv,1757406987.536801,1757406987.537089,0.000288,95
95,joint_state,recv,1757406987.571136,1757406987.571480,0.000343,96
96,joint_state,recv,1757406987.604823,1757406987.605089,0.000267,97
97,joint_state,recv,1757406987.636821,1757406987.637086,0.000265,98
98,joint_state,recv,1757406987.671144,1757406987.671429,0.000285,99
99,joint_state,recv,1757406987.704878,1757406987.705178,0.000300,100
100,joint_state,recv,1757406987.736860,1757406987.737211,0.000351,101
101,joint_state,recv,1757406987.770899,1757406987.771155,0.000256,102
102,joint_state,recv,1757406987.804806,1757406987.805084,0.000278,103
103,joint_state,recv,1757406987.836798,1757406987.837090,0.000292,104
104,joint_state,recv,1757406987.870802,1757406987.871063,0.000260,105
105,joint_state,recv,1757406987.904819,1757406987.905087,0.000268,106
106,joint_state,recv,1757406987.936851,1757406987.937134,0.000283,107
107,joint_state,recv,1757406987.971082,1757406987.971494,0.000413,108
108,joint_state,recv,1757406988.004848,1757406988.005128,0.000280,109
109,joint_state,recv,1757406988.036895,1757406988.037148,0.000253,110
110,joint_state,recv,1757406988.070830,1757406988.071128,0.000298,111
111,joint_state,recv,1757406988.104841,1757406988.105072,0.000231,112
112,joint_state,recv,1757406988.136837,1757406988.137116,0.000279,113
113,control_mode,changed,,,,follow
114,traj_follow,enqueue,1757406988.146898,,,1
115,joint_state,recv,1757406988.170785,1757406988.171019,0.000234,114
116,traj_follow,enqueue,1757406988.180056,,,2
117,joint_state,recv,1757406988.204801,1757406988.205092,0.000291,115
118,traj_follow,enqueue,1757406988.213961,,,3
119,joint_state,recv,1757406988.236805,1757406988.237082,0.000277,116
120,traj_follow,enqueue,1757406988.246859,,,4
121,joint_state,recv,1757406988.270852,1757406988.271188,0.000337,117
122,traj_follow,enqueue,1757406988.280289,,,5
123,joint_state,recv,1757406988.304860,1757406988.305196,0.000336,118
124,traj_follow,enqueue,1757406988.313961,,,6
