seq_id,msg_type,event,stamp_send,stamp_recv,delay_s,buffer_size 
0,joint_state,enqueue,1757600639.457797,1757600639.557797,0.100000,1
1,joint_state,enqueue,1757600639.491177,1757600639.591177,0.100000,2
2,joint_state,enqueue,1757600639.524577,1757600639.624577,0.100000,3
3,joint_state,enqueue,1757600639.557888,1757600639.657888,0.100000,4
4,joint_state,dequeue,1757600639.457797,1757600639.559432,0.101635,3
5,joint_state,dequeue,1757600639.491177,1757600639.591452,0.100275,2
6,joint_state,enqueue,1757600639.591260,1757600639.691260,0.100000,3
7,joint_state,enqueue,1757600639.624583,1757600639.724583,0.100000,4
8,joint_state,dequeue,1757600639.524577,1757600639.625463,0.100885,3
9,joint_state,enqueue,1757600639.657920,1757600639.757920,0.100000,4
10,joint_state,dequeue,1757600639.557888,1757600639.659512,0.101624,3
11,joint_state,dequeue,1757600639.591260,1757600639.691521,0.100261,2
12,joint_state,enqueue,1757600639.691252,1757600639.791252,0.100000,3
13,joint_state,enqueue,1757600639.724580,1757600639.824580,0.100000,4
14,joint_state,dequeue,1757600639.624583,1757600639.725449,0.100865,3
15,joint_state,enqueue,1757600639.757962,1757600639.857961,0.100000,4
16,joint_state,dequeue,1757600639.657920,1757600639.759482,0.101562,3
17,joint_state,dequeue,1757600639.691252,1757600639.791481,0.100229,2
18,joint_state,enqueue,1757600639.791261,1757600639.891261,0.100000,3
19,joint_state,enqueue,1757600639.824564,1757600639.924564,0.100000,4
20,joint_state,dequeue,1757600639.724580,1757600639.825442,0.100862,3
21,joint_state,enqueue,1757600639.857911,1757600639.957911,0.100000,4
22,joint_state,dequeue,1757600639.757962,1757600639.859514,0.101553,3
23,joint_state,dequeue,1757600639.791261,1757600639.891456,0.100195,2
24,joint_state,enqueue,1757600639.891268,1757600639.991268,0.100000,3
25,joint_state,enqueue,1757600639.924445,1757600640.024445,0.100000,4
26,joint_state,dequeue,1757600639.824564,1757600639.925466,0.100902,3
27,joint_state,enqueue,1757600639.957773,1757600640.057773,0.100000,4
28,joint_state,dequeue,1757600639.857911,1757600639.960045,0.102134,3
29,joint_state,dequeue,1757600639.891268,1757600639.991425,0.100156,2
30,joint_state,enqueue,1757600639.991283,1757600640.091283,0.100000,3
31,joint_state,enqueue,1757600640.024579,1757600640.124579,0.100000,4
32,joint_state,dequeue,1757600639.924445,1757600640.025788,0.101343,3
33,joint_state,enqueue,1757600640.057914,1757600640.157914,0.100000,4
34,joint_state,dequeue,1757600639.957773,1757600640.059441,0.101668,3
35,joint_state,dequeue,1757600639.991283,1757600640.091430,0.100147,2
36,joint_state,enqueue,1757600640.091250,1757600640.191250,0.100000,3
37,joint_state,enqueue,1757600640.124602,1757600640.224602,0.100000,4
38,joint_state,dequeue,1757600640.024579,1757600640.125451,0.100872,3
39,joint_state,enqueue,1757600640.157888,1757600640.257888,0.100000,4
40,joint_state,dequeue,1757600640.057914,1757600640.159477,0.101563,3
41,joint_state,dequeue,1757600640.091250,1757600640.191430,0.100180,2
42,joint_state,enqueue,1757600640.191295,1757600640.291295,0.100000,3
43,joint_state,enqueue,1757600640.224557,1757600640.324557,0.100000,4
44,joint_state,dequeue,1757600640.124602,1757600640.225433,0.100831,3
45,joint_state,enqueue,1757600640.257725,1757600640.357724,0.100000,4
46,joint_state,dequeue,1757600640.157888,1757600640.259494,0.101606,3
47,joint_state,enqueue,1757600640.291180,1757600640.391180,0.100000,4
48,joint_state,dequeue,1757600640.191295,1757600640.291454,0.100160,3
49,joint_state,enqueue,1757600640.324455,1757600640.424455,0.100000,4
50,joint_state,dequeue,1757600640.224557,1757600640.325467,0.100910,3
51,joint_state,enqueue,1757600640.357681,1757600640.457681,0.100000,4
52,joint_state,dequeue,1757600640.257725,1757600640.359493,0.101769,3
53,joint_state,dequeue,1757600640.291180,1757600640.391452,0.100273,2
54,joint_state,enqueue,1757600640.391197,1757600640.491197,0.100000,3
55,joint_state,enqueue,1757600640.424538,1757600640.524538,0.100000,4
56,joint_state,dequeue,1757600640.324455,1757600640.425481,0.101025,3
57,joint_state,enqueue,1757600640.457888,1757600640.557888,0.100000,4
58,joint_state,dequeue,1757600640.357681,1757600640.459484,0.101803,3
59,joint_state,enqueue,1757600640.491064,1757600640.591064,0.100000,4
60,joint_state,dequeue,1757600640.391197,1757600640.491468,0.100271,3
61,joint_state,enqueue,1757600640.524533,1757600640.624532,0.100000,4
62,joint_state,dequeue,1757600640.424538,1757600640.525417,0.100879,3
63,joint_state,enqueue,1757600640.557854,1757600640.657854,0.100000,4
64,joint_state,dequeue,1757600640.457888,1757600640.559444,0.101556,3
65,joint_state,dequeue,1757600640.491064,1757600640.591448,0.100384,2
66,joint_state,enqueue,1757600640.591202,1757600640.691202,0.100000,3
67,joint_state,enqueue,1757600640.624537,1757600640.724537,0.100000,4
68,joint_state,dequeue,1757600640.524533,1757600640.625421,0.100888,3
69,joint_state,enqueue,1757600640.657858,1757600640.757858,0.100000,4
70,joint_state,dequeue,1757600640.557854,1757600640.659472,0.101618,3
71,joint_state,dequeue,1757600640.591202,1757600640.691457,0.100254,2
72,joint_state,enqueue,1757600640.691256,1757600640.791256,0.100000,3
73,joint_state,enqueue,1757600640.724554,1757600640.824553,0.100000,4
74,joint_state,dequeue,1757600640.624537,1757600640.725451,0.100914,3
75,joint_state,enqueue,1757600640.757871,1757600640.857871,0.100000,4
76,joint_state,dequeue,1757600640.657858,1757600640.759448,0.101590,3
77,joint_state,dequeue,1757600640.691256,1757600640.791452,0.100195,2
78,joint_state,enqueue,1757600640.791213,1757600640.891213,0.100000,3
79,joint_state,enqueue,1757600640.824534,1757600640.924534,0.100000,4
80,joint_state,dequeue,1757600640.724554,1757600640.825451,0.100897,3
81,joint_state,enqueue,1757600640.857829,1757600640.957829,0.100000,4
82,joint_state,dequeue,1757600640.757871,1757600640.859455,0.101584,3
83,joint_state,dequeue,1757600640.791213,1757600640.891438,0.100226,2
84,joint_state,enqueue,1757600640.891182,1757600640.991182,0.100000,3
85,joint_state,enqueue,1757600640.924553,1757600641.024553,0.100000,4
86,joint_state,dequeue,1757600640.824534,1757600640.925422,0.100888,3
87,joint_state,enqueue,1757600640.957760,1757600641.057760,0.100000,4
88,joint_state,dequeue,1757600640.857829,1757600640.959419,0.101590,3
89,joint_state,enqueue,1757600640.991036,1757600641.091036,0.100000,4
90,joint_state,dequeue,1757600640.891182,1757600640.991435,0.100252,3
91,joint_state,enqueue,1757600641.024506,1757600641.124506,0.100000,4
92,joint_state,dequeue,1757600640.924553,1757600641.025459,0.100906,3
93,joint_state,enqueue,1757600641.057887,1757600641.157887,0.100000,4
94,joint_state,dequeue,1757600640.957760,1757600641.059416,0.101656,3
95,joint_state,dequeue,1757600640.991036,1757600641.091479,96,joint_state,enqueue,0.100443,2
1757600641.091192,1757600641.191192,0.100000,3
97,joint_state,enqueue,1757600641.124516,1757600641.224516,0.100000,4
98,joint_state,dequeue,1757600641.024506,1757600641.125447,0.100941,3
99,joint_state,enqueue,1757600641.157869,1757600641.257869,0.100000,4
100,joint_state,dequeue,1757600641.057887,1757600641.159421,0.101534,3
101,joint_state,dequeue,1757600641.091192,1757600641.191424,0.100232,2
102,joint_state,enqueue,1757600641.191231,1757600641.291231,0.100000,3
103,joint_state,enqueue,1757600641.224548,1757600641.324548,0.100000,4
104,joint_state,dequeue,1757600641.124516,1757600641.225454,0.100938,3
105,joint_state,enqueue,1757600641.257836,1757600641.357836,0.100000,4
106,joint_state,dequeue,1757600641.157869,1757600641.259416,0.101547,3
107,joint_state,dequeue,1757600641.191231,1757600641.291378,0.100147,2
108,joint_state,enqueue,1757600641.291050,1757600641.391050,0.100000,3
109,joint_state,enqueue,1757600641.324525,1757600641.424525,0.100000,4
110,joint_state,dequeue,1757600641.224548,1757600641.325478,0.100930,3
111,joint_state,enqueue,1757600641.357908,1757600641.457907,0.100000,4
112,joint_state,dequeue,1757600641.257836,1757600641.359421,0.101586,3
113,joint_state,dequeue,1757600641.291050,1757600641.391424,0.100374,2
114,joint_state,enqueue,1757600641.391241,1757600641.491241,0.100000,3
115,joint_state,enqueue,1757600641.424547,1757600641.524547,0.100000,4
116,joint_state,dequeue,1757600641.324525,1757600641.425439,0.100915,3
