seq_id,msg_type,event,stamp_send,stamp_recv,delay_s,buffer_size 
0,joint_state,enqueue,6.500000,6.500000,0.000000,1
1,joint_state,enqueue,6.534000,6.534000,0.000000,2
2,joint_state,enqueue,6.567000,6.567000,0.000000,3
3,joint_state,enqueue,6.600000,6.600000,0.000000,4
4,joint_state,dequeue,6.500000,6.603000,0.103000,3
5,joint_state,dequeue,6.534000,6.603000,0.069000,2
6,joint_state,dequeue,6.567000,6.603000,0.036000,1
7,joint_state,dequeue,6.600000,6.603000,0.003000,0
8,joint_state,enqueue,6.634000,6.634000,0.000000,1
9,joint_state,dequeue,6.634000,6.635000,0.001000,0
10,joint_state,enqueue,6.667000,6.667000,0.000000,1
11,joint_state,dequeue,6.667000,6.667000,0.000000,0
12,joint_state,enqueue,6.700000,6.700000,0.000000,1
13,joint_state,dequeue,6.700000,6.701000,0.001000,0
14,joint_state,enqueue,6.734000,6.734000,0.000000,1
15,joint_state,dequeue,6.734000,6.735000,0.001000,0
16,joint_state,enqueue,6.767000,6.767000,0.000000,1
17,joint_state,dequeue,6.767000,6.767000,0.000000,0
18,joint_state,enqueue,6.800000,6.800000,0.000000,1
19,joint_state,dequeue,6.800000,6.801000,0.001000,0
20,joint_state,enqueue,6.834000,6.834000,0.000000,1
21,joint_state,dequeue,6.834000,6.835000,0.001000,0
22,joint_state,enqueue,6.867000,6.867000,0.000000,1
23,joint_state,dequeue,6.867000,6.867000,0.000000,0
24,joint_state,enqueue,6.900000,6.900000,0.000000,1
25,joint_state,dequeue,6.900000,6.902000,0.002000,0
26,joint_state,enqueue,6.934000,6.934000,0.000000,1
27,joint_state,dequeue,6.934000,6.935000,0.001000,0
28,joint_state,enqueue,6.967000,6.967000,0.000000,1
29,joint_state,dequeue,6.967000,6.967000,0.000000,0
30,joint_state,enqueue,7.000000,7.000000,0.000000,1
31,joint_state,dequeue,7.000000,7.001000,0.001000,0
32,joint_state,enqueue,7.034000,7.034000,0.000000,1
33,joint_state,dequeue,7.034000,7.035000,0.001000,0
34,joint_state,enqueue,7.067000,7.067000,0.000000,1
35,joint_state,dequeue,7.067000,7.067000,0.000000,0
36,joint_state,enqueue,7.100000,7.100000,0.000000,1
37,joint_state,dequeue,7.100000,7.101000,0.001000,0
38,joint_state,enqueue,7.134000,7.134000,0.000000,1
39,joint_state,dequeue,7.134000,7.135000,0.001000,0
40,joint_state,enqueue,7.167000,7.167000,0.000000,1
41,joint_state,dequeue,7.167000,7.169000,0.002000,0
42,joint_state,enqueue,7.200000,7.200000,0.000000,1
43,joint_state,dequeue,7.200000,7.201000,0.001000,0
44,joint_state,enqueue,7.234000,7.234000,0.000000,1
45,joint_state,dequeue,7.234000,7.234000,0.000000,0
46,joint_state,enqueue,7.267000,7.267000,0.000000,1
47,joint_state,dequeue,7.267000,7.267000,0.000000,0
48,joint_state,enqueue,7.300000,7.300000,0.000000,1
49,joint_state,dequeue,7.300000,7.301000,0.001000,0
50,joint_state,enqueue,7.334000,7.334000,0.000000,1
51,joint_state,dequeue,7.334000,7.335000,0.001000,0
52,joint_state,enqueue,7.367000,7.367000,0.000000,1
53,joint_state,dequeue,7.367000,7.369000,0.002000,0
54,joint_state,enqueue,7.400000,7.400000,0.000000,1
55,joint_state,dequeue,7.400000,7.401000,0.001000,0
56,joint_state,enqueue,7.434000,7.434000,0.000000,1
57,joint_state,dequeue,7.434000,7.435000,0.001000,0
58,joint_state,enqueue,7.467000,7.467000,0.000000,1
59,joint_state,dequeue,7.467000,7.469000,0.002000,0
60,joint_state,enqueue,7.500000,7.500000,0.000000,1
61,joint_state,dequeue,7.500000,7.502000,0.002000,0
62,joint_state,enqueue,7.534000,7.534000,0.000000,1
63,joint_state,dequeue,7.534000,7.535000,0.001000,0
64,joint_state,enqueue,7.567000,7.567000,0.000000,1
65,joint_state,dequeue,7.567000,7.569000,0.002000,0
66,joint_state,enqueue,7.600000,7.600000,0.000000,1
67,joint_state,dequeue,7.600000,7.601000,0.001000,0
68,joint_state,enqueue,7.634000,7.634000,0.000000,1
69,joint_state,dequeue,7.634000,7.635000,0.001000,0
70,joint_state,enqueue,7.667000,7.667000,0.000000,1
71,joint_state,dequeue,7.667000,7.669000,0.002000,0
72,joint_state,enqueue,7.700000,7.700000,0.000000,1
73,joint_state,dequeue,7.700000,7.701000,0.001000,0
74,joint_state,enqueue,7.734000,7.734000,0.000000,1
75,joint_state,dequeue,7.734000,7.735000,0.001000,0
76,joint_state,enqueue,7.767000,7.767000,0.000000,1
77,joint_state,dequeue,7.767000,7.769000,0.002000,0
78,joint_state,enqueue,7.800000,7.800000,0.000000,1
79,joint_state,dequeue,7.800000,7.801000,0.001000,0
80,joint_state,enqueue,7.834000,7.834000,0.000000,1
81,joint_state,dequeue,7.834000,7.835000,0.001000,0
82,joint_state,enqueue,7.867000,7.867000,0.000000,1
83,joint_state,dequeue,7.867000,7.867000,0.000000,0
84,joint_state,enqueue,7.900000,7.900000,0.000000,1
85,joint_state,dequeue,7.900000,7.901000,0.001000,0
86,joint_state,enqueue,7.934000,7.934000,0.000000,1
87,joint_state,dequeue,7.934000,7.935000,0.001000,0
88,joint_state,enqueue,7.967000,7.967000,0.000000,1
89,joint_state,dequeue,7.967000,7.969000,0.002000,0
90,joint_state,enqueue,8.000000,8.000000,0.000000,1
91,joint_state,dequeue,8.000000,8.001000,0.001000,0
92,joint_state,enqueue,8.034000,8.034000,0.000000,1
93,joint_state,dequeue,8.034000,8.035000,0.001000,0
94,joint_state,enqueue,8.067000,8.067000,0.000000,1
95,joint_state,dequeue,8.067000,8.067000,0.000000,0
96,joint_state,enqueue,8.100000,8.100000,0.000000,1
97,joint_state,dequeue,8.100000,8.101000,0.001000,0
98,joint_state,enqueue,8.134000,8.134000,0.000000,1
99,joint_state,dequeue,8.134000,8.135000,0.001000,0
100,joint_state,enqueue,8.167000,8.167000,0.000000,1
101,joint_state,dequeue,8.167000,8.169000,0.002000,0
102,joint_state,enqueue,8.200000,8.200000,0.000000,1
103,joint_state,dequeue,8.200000,8.201000,0.001000,0
104,joint_state,enqueue,8.234000,8.234000,0.000000,1
105,joint_state,dequeue,8.234000,8.235000,0.001000,0
106,joint_state,enqueue,8.267000,8.267000,0.000000,1
107,joint_state,dequeue,8.267000,8.268000,0.001000,0
108,joint_state,enqueue,8.300000,8.300000,0.000000,1
109,joint_state,dequeue,8.300000,8.301000,0.001000,0
110,joint_state,enqueue,8.334000,8.334000,0.000000,1
111,joint_state,dequeue,8.334000,8.335000,0.001000,0
112,joint_state,enqueue,8.367000,8.367000,0.000000,1
113,joint_state,dequeue,8.367000,8.368000,0.001000,0
114,joint_state,enqueue,8.400000,8.400000,0.000000,1
115,joint_state,dequeue,8.400000,8.401000,0.001000,0
116,joint_state,enqueue,8.434000,8.434000,0.000000,1
117,joint_state,dequeue,8.434000,8.435000,0.001000,0
118,joint_state,enqueue,8.467000,8.467000,0.000000,1
119,joint_state,dequeue,8.467000,8.467000,0.000000,0
120,joint_state,enqueue,8.500000,8.500000,0.000000,1
121,joint_state,dequeue,8.500000,8.501000,0.001000,0
122,joint_state,enqueue,8.534000,8.534000,0.000000,1
123,joint_state,dequeue,8.534000,8.535000,0.001000,0
124,joint_state,enqueue,8.567000,8.567000,0.000000,1
125,joint_state,dequeue,8.567000,8.569000,0.002000,0
126,joint_state,enqueue,8.600000,8.600000,0.000000,1
127,joint_state,dequeue,8.600000,8.601000,0.001000,0
128,joint_state,enqueue,8.634000,8.634000,0.000000,1
129,joint_state,dequeue,8.634000,8.636000,0.002000,0
130,joint_state,enqueue,8.667000,8.667000,0.000000,1
131,joint_state,dequeue,8.667000,8.669000,0.002000,0
132,joint_state,enqueue,8.700000,8.700000,0.000000,1
133,joint_state,dequeue,8.700000,8.701000,0.001000,0
134,joint_state,enqueue,8.734000,8.734000,0.000000,1
135,joint_state,dequeue,8.734000,8.735000,0.001000,0
136,joint_state,enqueue,8.767000,8.767000,0.000000,1
137,joint_state,dequeue,8.767000,8.769000,0.002000,0
138,joint_state,enqueue,8.800000,8.800000,0.000000,1
139,joint_state,dequeue,8.800000,8.801000,0.001000,0
140,joint_state,enqueue,8.834000,8.834000,0.000000,1
141,joint_state,dequeue,8.834000,8.835000,0.001000,0
142,joint_state,enqueue,8.867000,8.867000,0.000000,1
143,joint_state,dequeue,8.867000,8.869000,0.002000,0
144,joint_state,enqueue,8.900000,8.900000,0.000000,1
145,joint_state,dequeue,8.900000,8.901000,0.001000,0
146,joint_state,enqueue,8.934000,8.934000,0.000000,1
147,joint_state,dequeue,8.934000,8.935000,0.001000,0
148,joint_state,enqueue,8.967000,8.967000,0.000000,1
149,joint_state,dequeue,8.967000,8.969000,0.002000,0
150,joint_state,enqueue,9.000000,9.000000,0.000000,1
151,joint_state,dequeue,9.000000,9.001000,0.001000,0
152,joint_state,enqueue,9.034000,9.034000,0.000000,1
153,joint_state,dequeue,9.034000,9.035000,0.001000,0
154,joint_state,enqueue,9.067000,9.067000,0.000000,1
155,joint_state,dequeue,9.067000,9.067000,0.000000,0
156,joint_state,enqueue,9.100000,9.100000,0.000000,1
157,joint_state,dequeue,9.100000,9.101000,0.001000,0
158,joint_state,enqueue,9.134000,9.134000,0.000000,1
159,joint_state,dequeue,9.134000,9.135000,0.001000,0
160,joint_state,enqueue,9.167000,9.167000,0.000000,1
161,joint_state,dequeue,9.167000,9.169000,0.002000,0
162,joint_state,enqueue,9.200000,9.200000,0.000000,1
163,joint_state,dequeue,9.200000,9.201000,0.001000,0
164,joint_state,enqueue,9.234000,9.234000,0.000000,1
165,joint_state,dequeue,9.234000,9.235000,0.001000,0
166,joint_state,enqueue,9.267000,9.267000,0.000000,1
167,joint_state,dequeue,9.267000,9.267000,0.000000,0
168,joint_state,enqueue,9.300000,9.300000,0.000000,1
169,joint_state,dequeue,9.300000,9.301000,0.001000,0
170,joint_state,enqueue,9.334000,9.334000,0.000000,1
171,joint_state,dequeue,9.334000,9.335000,0.001000,0
172,joint_state,enqueue,9.367000,9.367000,0.000000,1
173,joint_state,dequeue,9.367000,9.367000,0.000000,0
174,joint_state,enqueue,9.400000,9.400000,0.000000,1
175,joint_state,dequeue,9.400000,9.401000,0.001000,0
176,joint_state,enqueue,9.434000,9.434000,0.000000,1
177,joint_state,dequeue,9.434000,9.435000,0.001000,0
178,joint_state,enqueue,9.467000,9.467000,0.000000,1
179,joint_state,dequeue,9.467000,9.467000,0.000000,0
180,joint_state,enqueue,9.500000,9.500000,0.000000,1
181,joint_state,dequeue,9.500000,9.501000,0.001000,0
182,joint_state,enqueue,9.534000,9.534000,0.000000,1
183,joint_state,dequeue,9.534000,9.535000,0.001000,0
184,joint_state,enqueue,9.567000,9.567000,0.000000,1
185,joint_state,dequeue,9.567000,9.567000,0.000000,0
186,joint_state,enqueue,9.600000,9.600000,0.000000,1
187,joint_state,dequeue,9.600000,9.601000,0.001000,0
188,joint_state,enqueue,9.634000,9.634000,0.000000,1
189,joint_state,dequeue,9.634000,9.635000,0.001000,0
190,joint_state,enqueue,9.667000,9.667000,0.000000,1
191,joint_state,dequeue,9.667000,9.669000,0.002000,0
192,joint_state,enqueue,9.700000,9.700000,0.000000,1
193,joint_state,dequeue,9.700000,9.701000,0.001000,0
194,joint_state,enqueue,9.734000,9.734000,0.000000,1
195,joint_state,dequeue,9.734000,9.736000,0.002000,0
196,joint_state,enqueue,9.767000,9.767000,0.000000,1
197,joint_state,dequeue,9.767000,9.769000,0.002000,0
198,joint_state,enqueue,9.800000,9.800000,0.000000,1
199,joint_state,dequeue,9.800000,9.801000,0.001000,0
200,joint_state,enqueue,9.834000,9.834000,0.000000,1
201,joint_state,dequeue,9.834000,9.835000,0.001000,0
202,joint_state,enqueue,9.867000,9.867000,0.000000,1
203,joint_state,dequeue,9.867000,9.867000,0.000000,0
204,joint_state,enqueue,9.900000,9.900000,0.000000,1
205,joint_state,dequeue,9.900000,9.901000,0.001000,0
206,joint_state,enqueue,9.934000,9.934000,0.000000,1
207,joint_state,dequeue,9.934000,9.935000,0.001000,0
208,joint_state,enqueue,9.967000,9.967000,0.000000,1
209,joint_state,dequeue,9.967000,9.967000,0.000000,0
210,joint_state,enqueue,10.000000,10.000000,0.000000,1
211,joint_state,dequeue,10.000000,10.001000,0.001000,0
212,joint_state,enqueue,10.034000,10.034000,0.000000,1
213,joint_state,dequeue,10.034000,10.035000,0.001000,0
214,joint_state,enqueue,10.067000,10.067000,0.000000,1
215,joint_state,dequeue,10.067000,10.067000,0.000000,0
216,joint_state,enqueue,10.100000,10.100000,0.000000,1
217,joint_state,dequeue,10.100000,10.101000,0.001000,0
218,joint_state,enqueue,10.134000,10.134000,0.000000,1
219,joint_state,dequeue,10.134000,10.135000,0.001000,0
220,joint_state,enqueue,10.167000,10.167000,0.000000,1
221,joint_state,dequeue,10.167000,10.169000,0.002000,0
222,joint_state,enqueue,10.200000,10.200000,0.000000,1
223,joint_state,dequeue,10.200000,10.201000,0.001000,0
224,joint_state,enqueue,10.234000,10.234000,0.000000,1
225,joint_state,dequeue,10.234000,10.235000,0.001000,0
226,joint_state,enqueue,10.267000,10.267000,0.000000,1
227,joint_state,dequeue,10.267000,10.267000,0.000000,0
228,joint_state,enqueue,10.300000,10.300000,0.000000,1
229,joint_state,dequeue,10.300000,10.301000,0.001000,0
230,joint_state,enqueue,10.334000,10.334000,0.000000,1
231,joint_state,dequeue,10.334000,10.335000,0.001000,0
232,joint_state,enqueue,10.367000,10.367000,0.000000,1
233,joint_state,dequeue,10.367000,10.369000,0.002000,0
234,joint_state,enqueue,10.400000,10.400000,0.000000,1
235,joint_state,dequeue,10.400000,10.401000,0.001000,0
236,joint_state,enqueue,10.434000,10.434000,0.000000,1
237,joint_state,dequeue,10.434000,10.435000,0.001000,0
238,joint_state,enqueue,10.467000,10.467000,0.000000,1
239,joint_state,dequeue,10.467000,10.467000,0.000000,0
240,joint_state,enqueue,10.500000,10.500000,0.000000,1
241,joint_state,dequeue,10.500000,10.501000,0.001000,0
242,joint_state,enqueue,10.534000,10.534000,0.000000,1
243,joint_state,dequeue,10.534000,10.535000,0.001000,0
244,joint_state,enqueue,10.567000,10.567000,0.000000,1
245,joint_state,dequeue,10.567000,10.567000,0.000000,0
246,joint_state,enqueue,10.600000,10.600000,0.000000,1
247,joint_state,dequeue,10.600000,10.601000,0.001000,0
248,joint_state,enqueue,10.634000,10.634000,0.000000,1
249,joint_state,dequeue,10.634000,10.635000,0.001000,0
250,joint_state,enqueue,10.667000,10.667000,0.000000,1
251,joint_state,dequeue,10.667000,10.667000,0.000000,0
252,joint_state,enqueue,10.700000,10.700000,0.000000,1
253,joint_state,dequeue,10.700000,10.701000,0.001000,0
254,joint_state,enqueue,10.734000,10.734000,0.000000,1
255,joint_state,dequeue,10.734000,10.736000,0.002000,0
256,joint_state,enqueue,10.767000,10.767000,0.000000,1
257,joint_state,dequeue,10.767000,10.767000,0.000000,0
258,joint_state,enqueue,10.800000,10.800000,0.000000,1
259,joint_state,dequeue,10.800000,10.801000,0.001000,0
260,joint_state,enqueue,10.834000,10.834000,0.000000,1
261,joint_state,dequeue,10.834000,10.835000,0.001000,0
262,joint_state,enqueue,10.867000,10.867000,0.000000,1
263,joint_state,dequeue,10.867000,10.867000,0.000000,0
264,joint_state,enqueue,10.900000,10.900000,0.000000,1
265,joint_state,dequeue,10.900000,10.901000,0.001000,0
266,joint_state,enqueue,10.934000,10.934000,0.000000,1
267,joint_state,dequeue,10.934000,10.935000,0.001000,0
268,joint_state,enqueue,10.967000,10.967000,0.000000,1
269,joint_state,dequeue,10.967000,10.968000,0.001000,0
270,joint_state,enqueue,11.000000,11.000000,0.000000,1
271,joint_state,dequeue,11.000000,11.001000,0.001000,0
272,joint_state,enqueue,11.034000,11.034000,0.000000,1
273,joint_state,dequeue,11.034000,11.035000,0.001000,0
274,joint_state,enqueue,11.067000,11.067000,0.000000,1
275,joint_state,dequeue,11.067000,11.067000,0.000000,0
276,joint_state,enqueue,11.100000,11.100000,0.000000,1
277,joint_state,dequeue,11.100000,11.101000,0.001000,0
278,joint_state,enqueue,11.134000,11.134000,0.000000,1
279,joint_state,dequeue,11.134000,11.135000,0.001000,0
280,joint_state,enqueue,11.167000,11.167000,0.000000,1
281,joint_state,dequeue,11.167000,11.169000,0.002000,0
282,joint_state,enqueue,11.200000,11.200000,0.000000,1
283,joint_state,dequeue,11.200000,11.201000,0.001000,0
284,joint_state,enqueue,11.234000,11.234000,0.000000,1
285,joint_state,dequeue,11.234000,11.236000,0.002000,0
286,joint_state,enqueue,11.267000,11.267000,0.000000,1
287,joint_state,dequeue,11.267000,11.269000,0.002000,0
288,joint_state,enqueue,11.300000,11.300000,0.000000,1
289,joint_state,dequeue,11.300000,11.301000,0.001000,0
290,joint_state,enqueue,11.334000,11.334000,0.000000,1
291,joint_state,dequeue,11.334000,11.335000,0.001000,0
292,joint_state,enqueue,11.367000,11.367000,0.000000,1
293,joint_state,dequeue,11.367000,11.367000,0.000000,0
294,joint_state,enqueue,11.400000,11.400000,0.000000,1
295,joint_state,dequeue,11.400000,11.401000,0.001000,0
296,joint_state,enqueue,11.434000,11.434000,0.000000,1
297,joint_state,dequeue,11.434000,11.436000,0.002000,0
298,joint_state,enqueue,11.467000,11.467000,0.000000,1
299,joint_state,dequeue,11.467000,11.468000,0.001000,0
300,joint_state,enqueue,11.500000,11.500000,0.000000,1
301,joint_state,dequeue,11.500000,11.501000,0.001000,0
302,joint_state,enqueue,11.534000,11.534000,0.000000,1
303,joint_state,dequeue,11.534000,11.535000,0.001000,0
304,joint_state,enqueue,11.567000,11.567000,0.000000,1
305,joint_state,dequeue,11.567000,11.569000,0.002000,0
306,joint_state,enqueue,11.600000,11.600000,0.000000,1
307,joint_state,dequeue,11.600000,11.601000,0.001000,0
308,joint_state,enqueue,11.634000,11.634000,0.000000,1
309,joint_state,dequeue,11.634000,11.635000,0.001000,0
310,joint_state,enqueue,11.667000,11.667000,0.000000,1
311,joint_state,dequeue,11.667000,11.669000,0.002000,0
312,joint_state,enqueue,11.700000,11.700000,0.000000,1
313,joint_state,dequeue,11.700000,11.701000,0.001000,0
314,joint_state,enqueue,11.734000,11.734000,0.000000,1
315,joint_state,dequeue,11.734000,11.735000,0.001000,0
316,joint_state,enqueue,11.767000,11.767000,0.000000,1
317,joint_state,dequeue,11.767000,11.767000,0.000000,0
318,joint_state,enqueue,11.800000,11.800000,0.000000,1
319,joint_state,dequeue,11.800000,11.801000,0.001000,0
320,joint_state,enqueue,11.834000,11.834000,0.000000,1
321,joint_state,dequeue,11.834000,11.835000,0.001000,0
322,joint_state,enqueue,11.867000,11.867000,0.000000,1
323,joint_state,dequeue,11.867000,11.867000,0.000000,0
324,joint_state,enqueue,11.900000,11.900000,0.000000,1
325,joint_state,dequeue,11.900000,11.901000,0.001000,0
326,joint_state,enqueue,11.934000,11.934000,0.000000,1
327,joint_state,dequeue,11.934000,11.935000,0.001000,0
328,joint_state,enqueue,11.967000,11.967000,0.000000,1
329,joint_state,dequeue,11.967000,11.967000,0.000000,0
330,joint_state,enqueue,12.000000,12.000000,0.000000,1
331,joint_state,dequeue,12.000000,12.001000,0.001000,0
332,joint_state,enqueue,12.034000,12.034000,0.000000,1
333,joint_state,dequeue,12.034000,12.035000,0.001000,0
334,joint_state,enqueue,12.067000,12.067000,0.000000,1
335,joint_state,dequeue,12.067000,12.069000,0.002000,0
336,joint_state,enqueue,12.100000,12.100000,0.000000,1
337,joint_state,dequeue,12.100000,12.101000,0.001000,0
338,joint_state,enqueue,12.134000,12.134000,0.000000,1
339,joint_state,dequeue,12.134000,12.135000,0.001000,0
340,joint_state,enqueue,12.167000,12.167000,0.000000,1
341,joint_state,dequeue,12.167000,12.169000,0.002000,0
342,joint_state,enqueue,12.200000,12.200000,0.000000,1
343,joint_state,dequeue,12.200000,12.201000,0.001000,0
344,joint_state,enqueue,12.234000,12.234000,0.000000,1
345,joint_state,dequeue,12.234000,12.236000,0.002000,0
346,joint_state,enqueue,12.267000,12.267000,0.000000,1
347,joint_state,dequeue,12.267000,12.269000,0.002000,0
348,joint_state,enqueue,12.300000,12.300000,0.000000,1
349,joint_state,dequeue,12.300000,12.301000,0.001000,0
350,joint_state,enqueue,12.334000,12.334000,0.000000,1
351,joint_state,dequeue,12.334000,12.335000,0.001000,0
352,joint_state,enqueue,12.367000,12.367000,0.000000,1
353,joint_state,dequeue,12.367000,12.367000,0.000000,0
354,joint_state,enqueue,12.400000,12.400000,0.000000,1
355,joint_state,dequeue,12.400000,12.402000,0.002000,0
356,joint_state,enqueue,12.434000,12.434000,0.000000,1
357,joint_state,dequeue,12.434000,12.435000,0.001000,0
358,joint_state,enqueue,12.467000,12.467000,0.000000,1
359,joint_state,dequeue,12.467000,12.467000,0.000000,0
360,joint_state,enqueue,12.500000,12.500000,0.000000,1
361,joint_state,dequeue,12.500000,12.501000,0.001000,0
362,joint_state,enqueue,12.534000,12.534000,0.000000,1
363,joint_state,dequeue,12.534000,12.535000,0.001000,0
364,joint_state,enqueue,12.567000,12.567000,0.000000,1
365,joint_state,dequeue,12.567000,12.569000,0.002000,0
366,joint_state,enqueue,12.600000,12.600000,0.000000,1
367,joint_state,dequeue,12.600000,12.601000,0.001000,0
368,joint_state,enqueue,12.634000,12.634000,0.000000,1
369,joint_state,dequeue,12.634000,12.635000,0.001000,0
370,joint_state,enqueue,12.667000,12.667000,0.000000,1
371,joint_state,dequeue,12.667000,12.667000,0.000000,0
372,joint_state,enqueue,12.700000,12.700000,0.000000,1
373,joint_state,dequeue,12.700000,12.701000,0.001000,0
374,joint_state,enqueue,12.734000,12.734000,0.000000,1
375,joint_state,dequeue,12.734000,12.735000,0.001000,0
376,joint_state,enqueue,12.767000,12.767000,0.000000,1
377,joint_state,dequeue,12.767000,12.769000,0.002000,0
378,joint_state,enqueue,12.800000,12.800000,0.000000,1
379,joint_state,dequeue,12.800000,12.801000,0.001000,0
380,joint_state,enqueue,12.834000,12.834000,0.000000,1
381,joint_state,dequeue,12.834000,12.835000,0.001000,0
382,joint_state,enqueue,12.867000,12.867000,0.000000,1
383,joint_state,dequeue,12.867000,12.867000,0.000000,0
384,joint_state,enqueue,12.900000,12.900000,0.000000,1
385,joint_state,dequeue,12.900000,12.901000,0.001000,0
386,joint_state,enqueue,12.934000,12.934000,0.000000,1
387,joint_state,dequeue,12.934000,12.935000,0.001000,0
388,joint_state,enqueue,12.967000,12.967000,0.000000,1
389,joint_state,dequeue,12.967000,12.969000,0.002000,0
390,joint_state,enqueue,13.000000,13.000000,0.000000,1
391,joint_state,dequeue,13.000000,13.001000,0.001000,0
392,joint_state,enqueue,13.034000,13.034000,0.000000,1
393,joint_state,dequeue,13.034000,13.035000,0.001000,0
394,joint_state,enqueue,13.067000,13.067000,0.000000,1
395,joint_state,dequeue,13.067000,13.067000,0.000000,0
396,joint_state,enqueue,13.100000,13.100000,0.000000,1
397,joint_state,dequeue,13.100000,13.101000,0.001000,0
398,joint_state,enqueue,13.134000,13.134000,0.000000,1
399,joint_state,dequeue,13.134000,13.135000,0.001000,0
400,joint_state,enqueue,13.167000,13.167000,0.000000,1
401,joint_state,dequeue,13.167000,13.169000,0.002000,0
402,joint_state,enqueue,13.200000,13.200000,0.000000,1
403,joint_state,dequeue,13.200000,13.201000,0.001000,0
404,joint_state,enqueue,13.234000,13.234000,0.000000,1
405,joint_state,dequeue,13.234000,13.235000,0.001000,0
406,joint_state,enqueue,13.267000,13.267000,0.000000,1
407,joint_state,dequeue,13.267000,13.269000,0.002000,0
408,joint_state,enqueue,13.300000,13.300000,0.000000,1
409,joint_state,dequeue,13.300000,13.301000,0.001000,0
410,joint_state,enqueue,13.334000,13.334000,0.000000,1
411,joint_state,dequeue,13.334000,13.335000,0.001000,0
412,joint_state,enqueue,13.367000,13.367000,0.000000,1
413,joint_state,dequeue,13.367000,13.367000,0.000000,0
414,joint_state,enqueue,13.400000,13.400000,0.000000,1
415,joint_state,dequeue,13.400000,13.401000,0.001000,0
416,joint_state,enqueue,13.434000,13.434000,0.000000,1
417,joint_state,dequeue,13.434000,13.435000,0.001000,0
418,joint_state,enqueue,13.467000,13.467000,0.000000,1
419,joint_state,dequeue,13.467000,13.469000,0.002000,0
420,joint_state,enqueue,13.500000,13.500000,0.000000,1
421,joint_state,dequeue,13.500000,13.501000,0.001000,0
422,joint_state,enqueue,13.534000,13.534000,0.000000,1
423,joint_state,dequeue,13.534000,13.535000,0.001000,0
424,joint_state,enqueue,13.567000,13.567000,0.000000,1
425,joint_state,dequeue,13.567000,13.567000,0.000000,0
426,joint_state,enqueue,13.600000,13.600000,0.000000,1
427,joint_state,dequeue,13.600000,13.601000,0.001000,0
428,joint_state,enqueue,13.634000,13.634000,0.000000,1
429,joint_state,dequeue,13.634000,13.635000,0.001000,0
430,joint_state,enqueue,13.667000,13.667000,0.000000,1
431,joint_state,dequeue,13.667000,13.667000,0.000000,0
432,joint_state,enqueue,13.700000,13.700000,0.000000,1
433,joint_state,dequeue,13.700000,13.701000,0.001000,0
434,joint_state,enqueue,13.734000,13.734000,0.000000,1
435,joint_state,dequeue,13.734000,13.735000,0.001000,0
436,joint_state,enqueue,13.767000,13.767000,0.000000,1
437,joint_state,dequeue,13.767000,13.768000,0.001000,0
438,joint_state,enqueue,13.800000,13.800000,0.000000,1
439,joint_state,dequeue,13.800000,13.801000,0.001000,0
440,joint_state,enqueue,13.834000,13.834000,0.000000,1
441,joint_state,dequeue,13.834000,13.835000,0.001000,0
442,joint_state,enqueue,13.867000,13.867000,0.000000,1
