timestamp,error_xy,dx,dy,cube_x,cube_y,cube_z,ee_x,ee_y,ee_z,confidence,control_mode
20.433000,0.020000,0.019939,0.001561,0.464008,0.012341,0.080348,0.306894,0.000042,0.486872,0.918945,follow
22.433000,0.001213,-0.000354,0.001160,0.463728,0.013842,0.080646,0.464082,0.012682,0.486754,0.917969,follow
24.433000,0.005902,0.004541,0.003771,0.468280,0.017667,0.077945,0.463739,0.013897,0.486760,0.920410,follow
26.433000,0.002195,0.001003,0.001953,0.469473,0.019788,0.074704,0.468470,0.017835,0.486757,0.918457,follow
28.433000,0.004153,-0.002893,-0.002980,0.466644,0.016898,0.075244,0.469537,0.019877,0.486762,0.921387,follow
30.433000,0.003963,-0.001712,-0.003574,0.464854,0.013201,0.080348,0.466567,0.016775,0.486763,0.915039,follow
32.433000,0.001117,0.000036,0.001117,0.464865,0.014172,0.079566,0.464828,0.013055,0.486765,0.916504,follow
34.433000,0.001118,0.000241,0.001092,0.465157,0.015315,0.079566,0.464916,0.014223,0.486768,0.917969,follow
36.433000,0.003235,0.002235,0.002339,0.467461,0.017704,0.076865,0.465226,0.015365,0.486774,0.915527,follow
38.433000,0.020000,-0.014703,0.013558,0.422434,0.059461,0.074263,0.467608,0.017806,0.486782,0.927246,follow
40.433000,0.004858,-0.001970,-0.004440,0.420062,0.055662,0.078578,0.422032,0.060102,0.486811,0.931152,follow
