seq_id,msg_type,event,stamp_send,stamp_recv,delay_s,buffer_size 
0,joint_state,recv,11.479000,11.479000,0.000000,1
1,joint_state,recv,11.479000,11.479000,0.000000,2
2,joint_state,recv,11.502000,11.502000,0.000000,3
3,joint_state,recv,11.534000,11.534000,0.000000,4
4,joint_state,recv,11.568000,11.568000,0.000000,5
5,joint_state,recv,11.600000,11.600000,0.000000,6
6,joint_state,recv,11.634000,11.634000,0.000000,7
7,joint_state,recv,11.668000,11.668000,0.000000,8
8,joint_state,recv,11.700000,11.701000,0.001000,9
9,joint_state,recv,11.734000,11.735000,0.001000,10
10,joint_state,recv,11.768000,11.768000,0.000000,11
11,joint_state,recv,11.800000,11.800000,0.000000,12
12,joint_state,recv,11.835000,11.835000,0.000000,13
13,joint_state,recv,11.868000,11.868000,0.000000,14
14,joint_state,recv,11.900000,11.900000,0.000000,15
15,joint_state,recv,11.934000,11.934000,0.000000,16
16,joint_state,recv,11.968000,11.968000,0.000000,17
17,joint_state,recv,12.002000,12.002000,0.000000,18
18,joint_state,recv,12.034000,12.035000,0.001000,19
19,joint_state,recv,12.068000,12.069000,0.001000,20
20,joint_state,recv,12.100000,12.101000,0.001000,21
21,joint_state,recv,12.136000,12.136000,0.000000,22
22,joint_state,recv,12.168000,12.168000,0.000000,23
23,joint_state,recv,12.200000,12.201000,0.001000,24
24,joint_state,recv,12.236000,12.237000,0.001000,25
25,joint_state,recv,12.268000,12.269000,0.001000,26
26,joint_state,recv,12.300000,12.300000,0.000000,27
27,joint_state,recv,12.334000,12.335000,0.001000,28
28,joint_state,recv,12.368000,12.368000,0.000000,29
29,joint_state,recv,12.400000,12.401000,0.001000,30
30,joint_state,recv,12.434000,12.435000,0.001000,31
31,joint_state,recv,12.468000,12.469000,0.001000,32
32,joint_state,recv,12.500000,12.500000,0.000000,33
33,joint_state,recv,12.536000,12.536000,0.000000,34
34,joint_state,recv,12.568000,12.568000,0.000000,35
35,joint_state,recv,12.600000,12.601000,0.001000,36
36,joint_state,recv,12.634000,12.634000,0.000000,37
37,joint_state,recv,12.668000,12.668000,0.000000,38
38,joint_state,recv,12.700000,12.700000,0.000000,39
39,joint_state,recv,12.736000,12.736000,0.000000,40
40,joint_state,recv,12.768000,12.768000,0.000000,41
41,joint_state,recv,12.802000,12.802000,0.000000,42
42,joint_state,recv,12.834000,12.834000,0.000000,43
43,joint_state,recv,12.868000,12.868000,0.000000,44
44,joint_state,recv,12.900000,12.900000,0.000000,45
45,joint_state,recv,12.935000,12.935000,0.000000,46
46,joint_state,recv,12.968000,12.968000,0.000000,47
47,joint_state,recv,13.002000,13.002000,0.000000,48
48,joint_state,recv,13.034000,13.034000,0.000000,49
49,joint_state,recv,13.068000,13.069000,0.001000,50
50,joint_state,recv,13.102000,13.102000,0.000000,51
51,joint_state,recv,13.136000,13.136000,0.000000,52
52,joint_state,recv,13.168000,13.169000,0.001000,53
53,joint_state,recv,13.202000,13.202000,0.000000,54
54,joint_state,recv,13.236000,13.236000,0.000000,55
55,joint_state,recv,13.268000,13.268000,0.000000,56
56,joint_state,recv,13.302000,13.302000,0.000000,57
57,joint_state,recv,13.336000,13.336000,0.000000,58
58,joint_state,recv,13.368000,13.368000,0.000000,59
59,joint_state,recv,13.401000,13.401000,0.000000,60
60,joint_state,recv,13.434000,13.434000,0.000000,61
61,joint_state,recv,13.468000,13.468000,0.000000,62
62,joint_state,recv,13.500000,13.500000,0.000000,63
63,joint_state,recv,13.534000,13.534000,0.000000,64
64,joint_state,recv,13.568000,13.568000,0.000000,65
65,joint_state,recv,13.600000,13.600000,0.000000,66
66,joint_state,recv,13.634000,13.634000,0.000000,67
67,joint_state,recv,13.668000,13.668000,0.000000,68
68,joint_state,recv,13.700000,13.701000,0.001000,69
69,joint_state,recv,13.736000,13.736000,0.000000,70
70,joint_state,recv,13.768000,13.768000,0.000000,71
71,joint_state,recv,13.802000,13.802000,0.000000,72
72,joint_state,recv,13.834000,13.835000,0.001000,73
73,joint_state,recv,13.868000,13.869000,0.001000,74
74,joint_state,recv,13.900000,13.901000,0.001000,75
75,joint_state,recv,13.936000,13.936000,0.000000,76
76,joint_state,recv,13.968000,13.968000,0.000000,77
77,joint_state,recv,14.000000,14.000000,0.000000,78
78,joint_state,recv,14.034000,14.034000,0.000000,79
79,joint_state,recv,14.068000,14.068000,0.000000,80
80,joint_state,recv,14.102000,14.102000,0.000000,81
81,joint_state,recv,14.134000,14.135000,0.001000,82
82,joint_state,recv,14.168000,14.168000,0.000000,83
83,joint_state,recv,14.202000,14.202000,0.000000,84
84,joint_state,recv,14.234000,14.234000,0.000000,85
85,joint_state,recv,14.268000,14.268000,0.000000,86
86,joint_state,recv,14.302000,14.302000,0.000000,87
87,joint_state,recv,14.336000,14.336000,0.000000,88
88,joint_state,recv,14.368000,14.368000,0.000000,89
89,joint_state,recv,14.401000,14.401000,0.000000,90
90,joint_state,recv,14.434000,14.434000,0.000000,91
91,joint_state,recv,14.468000,14.469000,0.001000,92
92,joint_state,recv,14.500000,14.500000,0.000000,93
93,joint_state,recv,14.534000,14.535000,0.001000,94
94,joint_state,recv,14.568000,14.568000,0.000000,95
95,joint_state,recv,14.601000,14.601000,0.000000,96
96,joint_state,recv,14.636000,14.636000,0.000000,97
97,joint_state,recv,14.668000,14.668000,0.000000,98
98,joint_state,recv,14.700000,14.701000,0.001000,99
99,joint_state,recv,14.736000,14.736000,0.000000,100
100,joint_state,recv,14.768000,14.768000,0.000000,101
101,joint_state,recv,14.802000,14.802000,0.000000,102
102,joint_state,recv,14.834000,14.834000,0.000000,103
103,joint_state,recv,14.868000,14.868000,0.000000,104
104,joint_state,recv,14.902000,14.902000,0.000000,105
105,joint_state,recv,14.936000,14.936000,0.000000,106
106,joint_state,recv,14.969000,14.969000,0.000000,107
107,joint_state,recv,15.000000,15.000000,0.000000,108
108,joint_state,recv,15.036000,15.036000,0.000000,109
109,joint_state,recv,15.068000,15.068000,0.000000,110
110,joint_state,recv,15.100000,15.101000,0.001000,111
111,joint_state,recv,15.134000,15.134000,0.000000,112
112,joint_state,recv,15.168000,15.168000,0.000000,113
113,joint_state,recv,15.200000,15.200000,0.000000,114
114,joint_state,recv,15.236000,15.236000,0.000000,115
115,joint_state,recv,15.268000,15.268000,0.000000,116
116,joint_state,recv,15.300000,15.300000,0.000000,117
117,joint_state,recv,15.334000,15.334000,0.000000,118
118,joint_state,recv,15.368000,15.368000,0.000000,119
119,joint_state,recv,15.400000,15.401000,0.001000,120
120,joint_state,recv,15.434000,15.435000,0.001000,121
121,joint_state,recv,15.469000,15.469000,0.000000,122
122,joint_state,recv,15.500000,15.500000,0.000000,123
123,joint_state,recv,15.534000,15.535000,0.001000,124
124,joint_state,recv,15.568000,15.568000,0.000000,125
125,joint_state,recv,15.600000,15.601000,0.001000,126
126,joint_state,recv,15.634000,15.634000,0.000000,127
127,joint_state,recv,15.668000,15.669000,0.001000,128
128,joint_state,recv,15.702000,15.702000,0.000000,129
129,joint_state,recv,15.736000,15.736000,0.000000,130
130,joint_state,recv,15.768000,15.768000,0.000000,131
131,joint_state,recv,15.800000,15.801000,0.001000,132
132,joint_state,recv,15.836000,15.836000,0.000000,133
133,joint_state,recv,15.869000,15.869000,0.000000,134
134,joint_state,recv,15.902000,15.902000,0.000000,135
135,joint_state,recv,15.934000,15.935000,0.001000,136
136,joint_state,recv,15.968000,15.968000,0.000000,137
137,joint_state,recv,16.000000,16.000000,0.000000,138
138,joint_state,recv,16.036000,16.036000,0.000000,139
139,joint_state,recv,16.068000,16.068000,0.000000,140
140,joint_state,recv,16.101000,16.101000,0.000000,141
141,joint_state,recv,16.135000,16.135000,0.000000,142
142,joint_state,recv,16.168000,16.168000,0.000000,143
143,joint_state,recv,16.202000,16.202000,0.000000,144
144,joint_state,recv,16.236000,16.236000,0.000000,145
145,joint_state,recv,16.268000,16.268000,0.000000,146
146,joint_state,recv,16.301000,16.301000,0.000000,147
147,joint_state,recv,16.334000,16.334000,0.000000,148
148,joint_state,recv,16.368000,16.368000,0.000000,149
149,joint_state,recv,16.402000,16.402000,0.000000,150
150,joint_state,recv,16.434000,16.435000,0.001000,151
151,joint_state,recv,16.468000,16.468000,0.000000,152
152,joint_state,recv,16.501000,16.501000,0.000000,153
153,joint_state,recv,16.534000,16.534000,0.000000,154
154,joint_state,recv,16.568000,16.568000,0.000000,155
155,joint_state,recv,16.600000,16.600000,0.000000,156
156,joint_state,recv,16.634000,16.635000,0.001000,157
157,joint_state,recv,16.668000,16.668000,0.000000,158
158,joint_state,recv,16.702000,16.702000,0.000000,159
159,joint_state,recv,16.734000,16.735000,0.001000,160
160,joint_state,recv,16.768000,16.768000,0.000000,161
161,joint_state,recv,16.800000,16.800000,0.000000,162
162,joint_state,recv,16.834000,16.834000,0.000000,163
163,joint_state,recv,16.868000,16.869000,0.001000,164
164,joint_state,recv,16.902000,16.902000,0.000000,165
165,joint_state,recv,16.934000,16.934000,0.000000,166
166,joint_state,recv,16.968000,16.969000,0.001000,167
167,joint_state,recv,17.000000,17.000000,0.000000,168
168,joint_state,recv,17.036000,17.036000,0.000000,169
169,joint_state,recv,17.068000,17.068000,0.000000,170
170,joint_state,recv,17.102000,17.102000,0.000000,171
171,joint_state,recv,17.134000,17.134000,0.000000,172
172,joint_state,recv,17.168000,17.168000,0.000000,173
173,joint_state,recv,17.200000,17.201000,0.001000,174
174,joint_state,recv,17.234000,17.234000,0.000000,175
175,joint_state,recv,17.268000,17.268000,0.000000,176
176,joint_state,recv,17.301000,17.301000,0.000000,177
177,joint_state,recv,17.334000,17.334000,0.000000,178
178,joint_state,recv,17.368000,17.368000,0.000000,179
179,joint_state,recv,17.401000,17.401000,0.000000,180
180,joint_state,recv,17.434000,17.434000,0.000000,181
181,joint_state,recv,17.468000,17.468000,0.000000,182
182,joint_state,recv,17.500000,17.500000,0.000000,183
183,joint_state,recv,17.534000,17.534000,0.000000,184
184,joint_state,recv,17.568000,17.568000,0.000000,185
185,joint_state,recv,17.602000,17.602000,0.000000,186
186,joint_state,recv,17.636000,17.636000,0.000000,187
187,joint_state,recv,17.668000,17.668000,0.000000,188
188,joint_state,recv,17.700000,17.700000,0.000000,189
189,joint_state,recv,17.736000,17.736000,0.000000,190
190,joint_state,recv,17.768000,17.768000,0.000000,191
191,joint_state,recv,17.800000,17.801000,0.001000,192
192,joint_state,recv,17.834000,17.834000,0.000000,193
193,joint_state,recv,17.868000,17.869000,0.001000,194
194,joint_state,recv,17.900000,17.900000,0.000000,195
195,joint_state,recv,17.934000,17.935000,0.001000,196
196,joint_state,recv,17.968000,17.968000,0.000000,197
197,joint_state,recv,18.002000,18.002000,0.000000,198
198,joint_state,recv,18.036000,18.036000,0.000000,199
199,joint_state,recv,18.068000,18.069000,0.001000,200
200,joint_state,recv,18.100000,18.101000,0.001000,201
201,joint_state,recv,18.134000,18.135000,0.001000,202
202,joint_state,recv,18.168000,18.168000,0.000000,203
203,joint_state,recv,18.200000,18.201000,0.001000,204
204,joint_state,recv,18.234000,18.234000,0.000000,205
205,joint_state,recv,18.268000,18.269000,0.001000,206
206,joint_state,recv,18.302000,18.302000,0.000000,207
207,joint_state,recv,18.336000,18.336000,0.000000,208
208,joint_state,recv,18.368000,18.368000,0.000000,209
209,joint_state,recv,18.400000,18.400000,0.000000,210
210,joint_state,recv,18.434000,18.435000,0.001000,211
211,joint_state,recv,18.468000,18.468000,0.000000,212
212,joint_state,recv,18.502000,18.502000,0.000000,213
213,joint_state,recv,18.536000,18.536000,0.000000,214
214,joint_state,recv,18.568000,18.568000,0.000000,215
215,joint_state,recv,18.600000,18.600000,0.000000,216
216,joint_state,recv,18.636000,18.636000,0.000000,217
217,joint_state,recv,18.668000,18.668000,0.000000,218
218,joint_state,recv,18.700000,18.700000,0.000000,219
219,joint_state,recv,18.734000,18.734000,0.000000,220
220,joint_state,recv,18.768000,18.768000,0.000000,221
221,joint_state,recv,18.800000,18.800000,0.000000,222
222,joint_state,recv,18.834000,18.835000,0.001000,223
223,joint_state,recv,18.868000,18.868000,0.000000,224
224,joint_state,recv,18.902000,18.902000,0.000000,225
225,joint_state,recv,18.934000,18.935000,0.001000,226
226,joint_state,recv,18.968000,18.968000,0.000000,227
227,joint_state,recv,19.002000,19.002000,0.000000,228
228,joint_state,recv,19.034000,19.034000,0.000000,229
229,joint_state,recv,19.068000,19.069000,0.001000,230
230,joint_state,recv,19.102000,19.102000,0.000000,231
231,joint_state,recv,19.134000,19.135000,0.001000,232
232,joint_state,recv,19.168000,19.168000,0.000000,233
233,joint_state,recv,19.202000,19.202000,0.000000,234
234,joint_state,recv,19.236000,19.236000,0.000000,235
235,joint_state,recv,19.268000,19.268000,0.000000,236
236,joint_state,recv,19.300000,19.300000,0.000000,237
237,joint_state,recv,19.334000,19.334000,0.000000,238
238,joint_state,recv,19.368000,19.368000,0.000000,239
239,joint_state,recv,19.400000,19.400000,0.000000,240
240,joint_state,recv,19.434000,19.435000,0.001000,241
241,joint_state,recv,19.470000,19.471000,0.001000,242
242,joint_state,recv,19.501000,19.501000,0.000000,243
243,joint_state,recv,19.536000,19.536000,0.000000,244
244,joint_state,recv,19.568000,19.568000,0.000000,245
245,joint_state,recv,19.600000,19.600000,0.000000,246
246,joint_state,recv,19.636000,19.636000,0.000000,247
247,joint_state,recv,19.668000,19.668000,0.000000,248
248,joint_state,recv,19.700000,19.700000,0.000000,249
249,joint_state,recv,19.734000,19.734000,0.000000,250
250,joint_state,recv,19.768000,19.768000,0.000000,251
251,joint_state,recv,19.802000,19.802000,0.000000,252
252,joint_state,recv,19.836000,19.836000,0.000000,253
253,joint_state,recv,19.868000,19.868000,0.000000,254
254,joint_state,recv,19.900000,19.900000,0.000000,255
255,joint_state,recv,19.934000,19.934000,0.000000,256
256,joint_state,recv,19.968000,19.968000,0.000000,257
257,joint_state,recv,20.002000,20.002000,0.000000,258
258,joint_state,recv,20.034000,20.034000,0.000000,259
259,joint_state,recv,20.068000,20.068000,0.000000,260
260,joint_state,recv,20.100000,20.100000,0.000000,261
261,joint_state,recv,20.136000,20.136000,0.000000,262
262,joint_state,recv,20.168000,20.169000,0.001000,263
263,joint_state,recv,20.201000,20.201000,0.000000,264
264,joint_state,recv,20.234000,20.234000,0.000000,265
265,joint_state,recv,20.268000,20.268000,0.000000,266
266,joint_state,recv,20.300000,20.301000,0.001000,267
267,joint_state,recv,20.334000,20.335000,0.001000,268
268,joint_state,recv,20.368000,20.368000,0.000000,269
269,joint_state,recv,20.401000,20.401000,0.000000,270
270,joint_state,recv,20.434000,20.435000,0.001000,271
271,joint_state,recv,20.468000,20.468000,0.000000,272
272,joint_state,recv,20.502000,20.502000,0.000000,273
273,joint_state,recv,20.536000,20.536000,0.000000,274
274,joint_state,recv,20.568000,20.569000,0.001000,275
275,joint_state,recv,20.600000,20.600000,0.000000,276
276,joint_state,recv,20.636000,20.636000,0.000000,277
277,joint_state,recv,20.668000,20.668000,0.000000,278
278,joint_state,recv,20.702000,20.702000,0.000000,279
279,joint_state,recv,20.736000,20.736000,0.000000,280
280,joint_state,recv,20.768000,20.768000,0.000000,281
281,joint_state,recv,20.801000,20.801000,0.000000,282
282,joint_state,recv,20.835000,20.835000,0.000000,283
283,joint_state,recv,20.868000,20.869000,0.001000,284
284,joint_state,recv,20.900000,20.900000,0.000000,285
285,joint_state,recv,20.936000,20.936000,0.000000,286
286,joint_state,recv,20.968000,20.969000,0.001000,287
287,joint_state,recv,21.000000,21.000000,0.000000,288
288,joint_state,recv,21.034000,21.035000,0.001000,289
289,joint_state,recv,21.068000,21.068000,0.000000,290
290,joint_state,recv,21.100000,21.101000,0.001000,291
291,joint_state,recv,21.136000,21.136000,0.000000,292
292,joint_state,recv,21.168000,21.168000,0.000000,293
293,joint_state,recv,21.200000,21.200000,0.000000,294
294,joint_state,recv,21.234000,21.234000,0.000000,295
295,joint_state,recv,21.268000,21.269000,0.001000,296
296,joint_state,recv,21.302000,21.302000,0.000000,297
297,joint_state,recv,21.335000,21.335000,0.000000,298
298,joint_state,recv,21.368000,21.368000,0.000000,299
299,joint_state,recv,21.400000,21.401000,0.001000,300
300,joint_state,recv,21.436000,21.436000,0.000000,301
301,joint_state,recv,21.468000,21.469000,0.001000,302
302,joint_state,recv,21.500000,21.501000,0.001000,303
303,joint_state,recv,21.534000,21.535000,0.001000,304
304,joint_state,recv,21.568000,21.568000,0.000000,305
305,joint_state,recv,21.602000,21.602000,0.000000,306
306,joint_state,recv,21.634000,21.634000,0.000000,307
307,joint_state,recv,21.668000,21.668000,0.000000,308
308,joint_state,recv,21.702000,21.702000,0.000000,309
309,joint_state,recv,21.734000,21.734000,0.000000,310
310,joint_state,recv,21.768000,21.769000,0.001000,311
311,joint_state,recv,21.800000,21.800000,0.000000,312
312,joint_state,recv,21.834000,21.834000,0.000000,313
313,joint_state,recv,21.868000,21.869000,0.001000,314
314,joint_state,recv,21.903000,21.903000,0.000000,315
315,joint_state,recv,21.934000,21.934000,0.000000,316
316,joint_state,recv,21.968000,21.968000,0.000000,317
317,joint_state,recv,22.000000,22.001000,0.001000,318
318,joint_state,recv,22.036000,22.036000,0.000000,319
319,joint_state,recv,22.068000,22.068000,0.000000,320
320,joint_state,recv,22.101000,22.101000,0.000000,321
321,joint_state,recv,22.134000,22.134000,0.000000,322
322,joint_state,recv,22.168000,22.168000,0.000000,323
323,joint_state,recv,22.202000,22.202000,0.000000,324
324,joint_state,recv,22.236000,22.236000,0.000000,325
325,joint_state,recv,22.268000,22.268000,0.000000,326
326,joint_state,recv,22.302000,22.302000,0.000000,327
327,joint_state,recv,22.334000,22.334000,0.000000,328
328,joint_state,recv,22.368000,22.368000,0.000000,329
329,joint_state,recv,22.400000,22.400000,0.000000,330
330,joint_state,recv,22.436000,22.436000,0.000000,331
331,joint_state,recv,22.468000,22.468000,0.000000,332
332,joint_state,recv,22.500000,22.500000,0.000000,333
333,joint_state,recv,22.536000,22.536000,0.000000,334
334,joint_state,recv,22.568000,22.568000,0.000000,335
335,joint_state,recv,22.602000,22.602000,0.000000,336
336,joint_state,recv,22.636000,22.636000,0.000000,337
337,joint_state,recv,22.668000,22.668000,0.000000,338
338,joint_state,recv,22.700000,22.701000,0.001000,339
339,joint_state,recv,22.734000,22.734000,0.000000,340
340,joint_state,recv,22.768000,22.768000,0.000000,341
341,joint_state,recv,22.802000,22.802000,0.000000,342
342,joint_state,recv,22.834000,22.835000,0.001000,343
343,joint_state,recv,22.868000,22.868000,0.000000,344
344,joint_state,recv,22.900000,22.901000,0.001000,345
345,joint_state,recv,22.934000,22.934000,0.000000,346
346,joint_state,recv,22.968000,22.969000,0.001000,347
347,joint_state,recv,23.002000,23.002000,0.000000,348
348,joint_state,recv,23.034000,23.035000,0.001000,349
349,joint_state,recv,23.068000,23.068000,0.000000,350
350,joint_state,recv,23.100000,23.100000,0.000000,351
351,joint_state,recv,23.134000,23.134000,0.000000,352
352,joint_state,recv,23.168000,23.168000,0.000000,353
353,joint_state,recv,23.200000,23.200000,0.000000,354
354,joint_state,recv,23.236000,23.236000,0.000000,355
355,joint_state,recv,23.268000,23.268000,0.000000,356
356,joint_state,recv,23.300000,23.300000,0.000000,357
357,joint_state,recv,23.334000,23.335000,0.001000,358
358,joint_state,recv,23.368000,23.368000,0.000000,359
359,joint_state,recv,23.402000,23.402000,0.000000,360
360,joint_state,recv,23.436000,23.436000,0.000000,361
361,joint_state,recv,23.468000,23.468000,0.000000,362
362,joint_state,recv,23.500000,23.501000,0.001000,363
363,joint_state,recv,23.536000,23.536000,0.000000,364
364,joint_state,recv,23.568000,23.569000,0.001000,365
365,joint_state,recv,23.600000,23.600000,0.000000,366
366,joint_state,recv,23.636000,23.636000,0.000000,367
367,joint_state,recv,23.668000,23.668000,0.000000,368
368,joint_state,recv,23.702000,23.703000,0.001000,369
369,joint_state,recv,23.736000,23.736000,0.000000,370
370,joint_state,recv,23.768000,23.768000,0.000000,371
371,joint_state,recv,23.800000,23.800000,0.000000,372
372,joint_state,recv,23.836000,23.836000,0.000000,373
373,joint_state,recv,23.868000,23.868000,0.000000,374
374,joint_state,recv,23.902000,23.902000,0.000000,375
375,joint_state,recv,23.934000,23.934000,0.000000,376
376,joint_state,recv,23.968000,23.968000,0.000000,377
377,joint_state,recv,24.002000,24.002000,0.000000,378
378,joint_state,recv,24.034000,24.034000,0.000000,379
379,joint_state,recv,24.068000,24.069000,0.001000,380
380,joint_state,recv,24.100000,24.100000,0.000000,381
381,joint_state,recv,24.136000,24.136000,0.000000,382
382,joint_state,recv,24.168000,24.168000,0.000000,383
383,joint_state,recv,24.202000,24.202000,0.000000,384
384,joint_state,recv,24.236000,24.236000,0.000000,385
385,joint_state,recv,24.268000,24.268000,0.000000,386
386,joint_state,recv,24.300000,24.300000,0.000000,387
387,joint_state,recv,24.336000,24.336000,0.000000,388
388,joint_state,recv,24.368000,24.369000,0.001000,389
389,joint_state,recv,24.400000,24.401000,0.001000,390
390,joint_state,recv,24.436000,24.436000,0.000000,391
391,joint_state,recv,24.468000,24.468000,0.000000,392
392,joint_state,recv,24.501000,24.501000,0.000000,393
393,joint_state,recv,24.534000,24.534000,0.000000,394
394,joint_state,recv,24.568000,24.568000,0.000000,395
395,joint_state,recv,24.600000,24.600000,0.000000,396
396,joint_state,recv,24.634000,24.634000,0.000000,397
397,joint_state,recv,24.668000,24.668000,0.000000,398
398,joint_state,recv,24.700000,24.700000,0.000000,399
399,joint_state,recv,24.736000,24.736000,0.000000,400
400,joint_state,recv,24.768000,24.769000,0.001000,401
401,joint_state,recv,24.800000,24.800000,0.000000,402
402,joint_state,recv,24.834000,24.834000,0.000000,403
403,joint_state,recv,24.868000,24.869000,0.001000,404
404,joint_state,recv,24.900000,24.900000,0.000000,405
405,joint_state,recv,24.934000,24.934000,0.000000,406
406,joint_state,recv,24.968000,24.968000,0.000000,407
407,joint_state,recv,25.002000,25.002000,0.000000,408
408,joint_state,recv,25.036000,25.036000,0.000000,409
409,joint_state,recv,25.068000,25.068000,0.000000,410
410,joint_state,recv,25.101000,25.101000,0.000000,411
411,joint_state,recv,25.136000,25.136000,0.000000,412
412,joint_state,recv,25.168000,25.169000,0.001000,413
413,joint_state,recv,25.202000,25.202000,0.000000,414
414,joint_state,recv,25.234000,25.234000,0.000000,415
415,joint_state,recv,25.268000,25.269000,0.001000,416
416,joint_state,recv,25.300000,25.301000,0.001000,417
417,joint_state,recv,25.334000,25.334000,0.000000,418
418,joint_state,recv,25.368000,25.368000,0.000000,419
419,joint_state,recv,25.402000,25.402000,0.000000,420
420,joint_state,recv,25.434000,25.435000,0.001000,421
421,joint_state,recv,25.468000,25.468000,0.000000,422
422,joint_state,recv,25.501000,25.501000,0.000000,423
423,joint_state,recv,25.535000,25.535000,0.000000,424
424,joint_state,recv,25.568000,25.568000,0.000000,425
425,joint_state,recv,25.601000,25.601000,0.000000,426
426,joint_state,recv,25.634000,25.635000,0.001000,427
427,joint_state,recv,25.668000,25.668000,0.000000,428
428,joint_state,recv,25.700000,25.700000,0.000000,429
429,joint_state,recv,25.736000,25.736000,0.000000,430
430,joint_state,recv,25.768000,25.769000,0.001000,431
431,joint_state,recv,25.800000,25.800000,0.000000,432
432,joint_state,recv,25.836000,25.836000,0.000000,433
433,joint_state,recv,25.868000,25.868000,0.000000,434
434,joint_state,recv,25.902000,25.902000,0.000000,435
435,joint_state,recv,25.934000,25.934000,0.000000,436
436,joint_state,recv,25.968000,25.968000,0.000000,437
437,joint_state,recv,26.000000,26.000000,0.000000,438
438,joint_state,recv,26.034000,26.034000,0.000000,439
439,joint_state,recv,26.068000,26.068000,0.000000,440
440,joint_state,recv,26.100000,26.100000,0.000000,441
441,joint_state,recv,26.136000,26.136000,0.000000,442
442,joint_state,recv,26.168000,26.168000,0.000000,443
443,joint_state,recv,26.202000,26.202000,0.000000,444
444,joint_state,recv,26.234000,26.234000,0.000000,445
445,joint_state,recv,26.268000,26.268000,0.000000,446
446,joint_state,recv,26.302000,26.302000,0.000000,447
447,joint_state,recv,26.336000,26.336000,0.000000,448
448,joint_state,recv,26.368000,26.369000,0.001000,449
449,joint_state,recv,26.402000,26.402000,0.000000,450
450,joint_state,recv,26.436000,26.436000,0.000000,451
451,joint_state,recv,26.468000,26.469000,0.001000,452
452,joint_state,recv,26.501000,26.501000,0.000000,453
453,joint_state,recv,26.534000,26.534000,0.000000,454
454,joint_state,recv,26.568000,26.568000,0.000000,455
455,joint_state,recv,26.600000,26.600000,0.000000,456
456,joint_state,recv,26.635000,26.635000,0.000000,457
457,joint_state,recv,26.668000,26.668000,0.000000,458
458,joint_state,recv,26.702000,26.702000,0.000000,459
459,joint_state,recv,26.734000,26.734000,0.000000,460
460,joint_state,recv,26.768000,26.768000,0.000000,461
461,joint_state,recv,26.800000,26.800000,0.000000,462
462,joint_state,recv,26.834000,26.835000,0.001000,463
463,joint_state,recv,26.868000,26.868000,0.000000,464
464,joint_state,recv,26.900000,26.901000,0.001000,465
465,joint_state,recv,26.934000,26.934000,0.000000,466
466,joint_state,recv,26.968000,26.969000,0.001000,467
467,joint_state,recv,27.002000,27.003000,0.001000,468
468,joint_state,recv,27.036000,27.036000,0.000000,469
469,joint_state,recv,27.068000,27.068000,0.000000,470
470,joint_state,recv,27.102000,27.102000,0.000000,471
471,joint_state,recv,27.134000,27.135000,0.001000,472
472,joint_state,recv,27.168000,27.169000,0.001000,473
473,joint_state,recv,27.201000,27.201000,0.000000,474
474,joint_state,recv,27.235000,27.235000,0.000000,475
475,joint_state,recv,27.268000,27.268000,0.000000,476
476,joint_state,recv,27.302000,27.302000,0.000000,477
477,joint_state,recv,27.334000,27.334000,0.000000,478
478,joint_state,recv,27.368000,27.368000,0.000000,479
479,joint_state,recv,27.402000,27.402000,0.000000,480
480,joint_state,recv,27.434000,27.435000,0.001000,481
481,joint_state,recv,27.468000,27.468000,0.000000,482
482,joint_state,recv,27.501000,27.501000,0.000000,483
483,joint_state,recv,27.536000,27.536000,0.000000,484
484,joint_state,recv,27.568000,27.569000,0.001000,485
485,joint_state,recv,27.602000,27.602000,0.000000,486
486,joint_state,recv,27.636000,27.636000,0.000000,487
487,joint_state,recv,27.668000,27.668000,0.000000,488
488,joint_state,recv,27.700000,27.700000,0.000000,489
489,joint_state,recv,27.734000,27.734000,0.000000,490
490,joint_state,recv,27.768000,27.768000,0.000000,491
491,joint_state,recv,27.802000,27.802000,0.000000,492
492,joint_state,recv,27.834000,27.834000,0.000000,493
493,joint_state,recv,27.868000,27.868000,0.000000,494
494,joint_state,recv,27.900000,27.900000,0.000000,495
495,joint_state,recv,27.936000,27.936000,0.000000,496
496,joint_state,recv,27.968000,27.968000,0.000000,497
