seq_id,msg_type,event,stamp_send,stamp_recv,delay_s,buffer_size 
0,joint_state,enqueue,9.434000,9.766000,1.000000,1
1,joint_state,enqueue,9.467000,9.766000,1.000000,2
2,joint_state,enqueue,9.500000,9.766000,1.000000,3
3,joint_state,enqueue,9.534000,9.766000,1.000000,4
4,joint_state,enqueue,9.567000,9.766000,1.000000,5
5,joint_state,enqueue,9.600000,9.766000,1.000000,6
6,joint_state,enqueue,9.634000,9.766000,1.000000,7
7,joint_state,enqueue,9.667000,9.766000,1.000000,8
8,joint_state,enqueue,9.700000,9.766000,1.000000,9
9,joint_state,enqueue,9.734000,9.766000,1.000000,10
10,joint_state,enqueue,9.767000,9.767000,1.000000,11
11,joint_state,enqueue,9.800000,9.800000,1.000000,12
12,joint_state,enqueue,9.834000,9.834000,1.000000,13
13,joint_state,enqueue,9.867000,9.867000,1.000000,14
14,joint_state,enqueue,9.900000,9.900000,1.000000,15
15,joint_state,enqueue,9.934000,9.934000,1.000000,16
16,joint_state,enqueue,9.967000,9.967000,1.000000,17
17,joint_state,enqueue,10.000000,10.000000,1.000000,18
18,joint_state,enqueue,10.034000,10.034000,1.000000,19
19,joint_state,enqueue,10.067000,10.067000,1.000000,20
20,joint_state,enqueue,10.100000,10.100000,1.000000,21
21,joint_state,enqueue,10.134000,10.134000,1.000000,22
22,joint_state,enqueue,10.167000,10.167000,1.000000,23
23,joint_state,enqueue,10.200000,10.200000,1.000000,24
24,joint_state,enqueue,10.234000,10.234000,1.000000,25
25,joint_state,enqueue,10.267000,10.267000,1.000000,26
26,joint_state,enqueue,10.300000,10.300000,1.000000,27
27,joint_state,enqueue,10.334000,10.334000,1.000000,28
28,joint_state,enqueue,10.367000,10.367000,1.000000,29
29,joint_state,enqueue,10.400000,10.400000,1.000000,30
30,joint_state,enqueue,10.434000,10.434000,1.000000,31
31,joint_state,enqueue,10.467000,10.467000,1.000000,32
32,joint_state,enqueue,10.500000,10.500000,1.000000,33
33,joint_state,enqueue,10.534000,10.534000,1.000000,34
34,joint_state,enqueue,10.567000,10.567000,1.000000,35
35,joint_state,enqueue,10.600000,10.600000,1.000000,36
36,joint_state,enqueue,10.634000,10.634000,1.000000,37
37,joint_state,enqueue,10.667000,10.667000,1.000000,38
38,joint_state,enqueue,10.700000,10.700000,1.000000,39
39,joint_state,enqueue,10.734000,10.734000,1.000000,40
40,joint_state,dequeue,9.766000,10.766000,1.000000,40
41,joint_state,dequeue,9.766000,10.766000,1.000000,39
42,joint_state,dequeue,9.766000,10.766000,1.000000,38
43,joint_state,dequeue,9.766000,10.766000,1.000000,37
44,joint_state,dequeue,9.766000,10.766000,1.000000,36
45,joint_state,dequeue,9.766000,10.766000,1.000000,35
46,joint_state,dequeue,9.766000,10.766000,1.000000,34
47,joint_state,dequeue,9.766000,10.766000,1.000000,33
48,joint_state,dequeue,9.766000,10.766000,1.000000,32
49,joint_state,dequeue,9.766000,10.766000,1.000000,31
50,joint_state,enqueue,10.767000,10.767000,1.000000,31
51,joint_state,dequeue,9.777000,10.777000,1.010000,31
52,joint_state,enqueue,10.800000,10.800000,1.000000,31
53,joint_state,dequeue,9.806000,10.806000,1.006000,31
54,joint_state,enqueue,10.834000,10.834000,1.000000,31
55,joint_state,dequeue,9.836000,10.836000,1.002000,31
56,joint_state,enqueue,10.867000,10.867000,1.000000,31
57,joint_state,dequeue,9.876000,10.876000,1.009000,31
58,joint_state,enqueue,10.900000,10.900000,1.000000,31
59,joint_state,dequeue,9.906000,10.906000,1.006000,31
60,joint_state,enqueue,10.934000,10.934000,1.000000,31
61,joint_state,dequeue,9.936000,10.936000,1.002000,31
62,joint_state,enqueue,10.967000,10.967000,1.000000,31
63,joint_state,dequeue,9.976000,10.976000,1.009000,31
64,joint_state,enqueue,11.000000,11.000000,1.000000,31
65,joint_state,dequeue,10.006000,11.006000,1.006000,31
66,joint_state,enqueue,11.034000,11.034000,1.000000,31
67,joint_state,dequeue,10.036000,11.036000,1.002000,31
68,joint_state,enqueue,11.067000,11.067000,1.000000,31
