seq_id,msg_type,event,stamp_send,stamp_recv,delay_s,buffer_size 
0,joint_state,recv,10.766000,10.766000,0.000000,1
1,joint_state,recv,10.766000,10.766000,0.000000,2
2,joint_state,recv,10.766000,10.766000,0.000000,3
3,joint_state,recv,10.766000,10.766000,0.000000,4
4,joint_state,recv,10.766000,10.766000,0.000000,5
5,joint_state,recv,10.766000,10.766000,0.000000,6
6,joint_state,recv,10.777000,10.777000,0.000000,7
7,joint_state,recv,10.806000,10.806000,0.000000,8
8,joint_state,recv,10.836000,10.836000,0.000000,9
9,joint_state,recv,10.876000,10.876000,0.000000,10
10,joint_state,recv,10.906000,10.906000,0.000000,11
11,joint_state,recv,10.936000,10.936000,0.000000,12
12,joint_state,recv,10.976000,10.976000,0.000000,13
13,joint_state,recv,11.006000,11.006000,0.000000,14
14,joint_state,recv,11.036000,11.036000,0.000000,15
15,joint_state,recv,11.076000,11.076000,0.000000,16
16,joint_state,recv,11.106000,11.106000,0.000000,17
17,joint_state,recv,11.136000,11.136000,0.000000,18
18,joint_state,recv,11.176000,11.176000,0.000000,19
19,joint_state,recv,11.206000,11.206000,0.000000,20
20,joint_state,recv,11.236000,11.236000,0.000000,21
21,joint_state,recv,11.276000,11.276000,0.000000,22
22,joint_state,recv,11.306000,11.306000,0.000000,23
23,joint_state,recv,11.336000,11.336000,0.000000,24
24,joint_state,recv,11.376000,11.376000,0.000000,25
25,joint_state,recv,11.406000,11.406000,0.000000,26
26,joint_state,recv,11.436000,11.437000,0.001000,27
27,joint_state,recv,11.476000,11.476000,0.000000,28
28,joint_state,recv,11.506000,11.506000,0.000000,29
29,joint_state,recv,11.536000,11.536000,0.000000,30
30,joint_state,recv,11.567000,11.567000,0.000000,31
31,joint_state,recv,11.606000,11.607000,0.001000,32
32,joint_state,recv,11.636000,11.637000,0.001000,33
33,joint_state,recv,11.676000,11.676000,0.000000,34
34,joint_state,recv,11.706000,11.706000,0.000000,35
35,joint_state,recv,11.736000,11.736000,0.000000,36
36,joint_state,recv,11.776000,11.776000,0.000000,37
37,joint_state,recv,11.806000,11.806000,0.000000,38
38,joint_state,recv,11.836000,11.836000,0.000000,39
39,joint_state,recv,11.867000,11.867000,0.000000,40
40,joint_state,recv,11.906000,11.906000,0.000000,41
41,joint_state,recv,11.936000,11.936000,0.000000,42
42,joint_state,recv,11.976000,11.976000,0.000000,43
43,joint_state,recv,12.006000,12.006000,0.000000,44
44,joint_state,recv,12.036000,12.036000,0.000000,45
45,joint_state,recv,12.076000,12.076000,0.000000,46
46,joint_state,recv,12.106000,12.106000,0.000000,47
47,joint_state,recv,12.136000,12.136000,0.000000,48
48,joint_state,recv,12.176000,12.176000,0.000000,49
49,joint_state,recv,12.206000,12.206000,0.000000,50
50,joint_state,recv,12.236000,12.236000,0.000000,51
51,joint_state,recv,12.276000,12.276000,0.000000,52
52,joint_state,recv,12.306000,12.306000,0.000000,53
53,joint_state,recv,12.336000,12.337000,0.001000,54
54,joint_state,recv,12.367000,12.367000,0.000000,55
55,joint_state,recv,12.406000,12.406000,0.000000,56
56,joint_state,recv,12.436000,12.436000,0.000000,57
57,joint_state,recv,12.476000,12.476000,0.000000,58
58,joint_state,recv,12.506000,12.506000,0.000000,59
59,joint_state,recv,12.536000,12.536000,0.000000,60
60,joint_state,recv,12.576000,12.577000,0.001000,61
61,joint_state,recv,12.606000,12.606000,0.000000,62
62,joint_state,recv,12.636000,12.636000,0.000000,63
63,joint_state,recv,12.676000,12.676000,0.000000,64
64,joint_state,recv,12.706000,12.706000,0.000000,65
65,joint_state,recv,12.736000,12.737000,0.001000,66
66,joint_state,recv,12.776000,12.776000,0.000000,67
67,joint_state,recv,12.806000,12.806000,0.000000,68
68,joint_state,recv,12.836000,12.836000,0.000000,69
69,joint_state,recv,12.876000,12.876000,0.000000,70
70,joint_state,recv,12.906000,12.906000,0.000000,71
71,joint_state,recv,12.936000,12.936000,0.000000,72
72,joint_state,recv,12.977000,12.977000,0.000000,73
73,joint_state,recv,13.006000,13.006000,0.000000,74
74,joint_state,recv,13.036000,13.036000,0.000000,75
75,joint_state,recv,13.076000,13.076000,0.000000,76
76,joint_state,recv,13.106000,13.107000,0.001000,77
77,joint_state,recv,13.136000,13.136000,0.000000,78
78,joint_state,recv,13.176000,13.176000,0.000000,79
79,joint_state,recv,13.206000,13.206000,0.000000,80
80,joint_state,recv,13.236000,13.236000,0.000000,81
81,joint_state,recv,13.276000,13.276000,0.000000,82
82,joint_state,recv,13.306000,13.306000,0.000000,83
83,joint_state,recv,13.336000,13.337000,0.001000,84
84,joint_state,recv,13.376000,13.376000,0.000000,85
85,joint_state,recv,13.406000,13.406000,0.000000,86
86,joint_state,recv,13.436000,13.436000,0.000000,87
87,joint_state,recv,13.476000,13.476000,0.000000,88
88,joint_state,recv,13.506000,13.506000,0.000000,89
89,joint_state,recv,13.536000,13.536000,0.000000,90
90,joint_state,recv,13.576000,13.576000,0.000000,91
91,joint_state,recv,13.606000,13.606000,0.000000,92
92,joint_state,recv,13.636000,13.636000,0.000000,93
93,joint_state,recv,13.676000,13.676000,0.000000,94
94,joint_state,recv,13.706000,13.706000,0.000000,95
95,joint_state,recv,13.736000,13.736000,0.000000,96
96,joint_state,recv,13.767000,13.767000,0.000000,97
97,joint_state,recv,13.806000,13.806000,0.000000,98
98,joint_state,recv,13.836000,13.837000,0.001000,99
99,joint_state,recv,13.867000,13.867000,0.000000,100
100,joint_state,recv,13.907000,13.907000,0.000000,101
101,joint_state,recv,13.936000,13.936000,0.000000,102
102,joint_state,recv,13.976000,13.976000,0.000000,103
103,joint_state,recv,14.006000,14.006000,0.000000,104
104,joint_state,recv,14.036000,14.036000,0.000000,105
105,joint_state,recv,14.076000,14.076000,0.000000,106
106,joint_state,recv,14.106000,14.106000,0.000000,107
107,joint_state,recv,14.136000,14.136000,0.000000,108
108,joint_state,recv,14.176000,14.176000,0.000000,109
109,joint_state,recv,14.206000,14.206000,0.000000,110
110,joint_state,recv,14.236000,14.237000,0.001000,111
111,joint_state,recv,14.276000,14.276000,0.000000,112
112,joint_state,recv,14.306000,14.307000,0.001000,113
113,joint_state,recv,14.336000,14.336000,0.000000,114
114,joint_state,recv,14.367000,14.367000,0.000000,115
115,joint_state,recv,14.406000,14.406000,0.000000,116
116,joint_state,recv,14.436000,14.436000,0.000000,117
117,joint_state,recv,14.477000,14.477000,0.000000,118
118,joint_state,recv,14.506000,14.506000,0.000000,119
119,joint_state,recv,14.536000,14.536000,0.000000,120
120,joint_state,recv,14.576000,14.576000,0.000000,121
121,joint_state,recv,14.606000,14.606000,0.000000,122
122,joint_state,recv,14.636000,14.636000,0.000000,123
123,joint_state,recv,14.676000,14.676000,0.000000,124
124,joint_state,recv,14.706000,14.706000,0.000000,125
125,joint_state,recv,14.736000,14.736000,0.000000,126
126,joint_state,recv,14.776000,14.776000,0.000000,127
127,joint_state,recv,14.806000,14.806000,0.000000,128
128,joint_state,recv,14.836000,14.836000,0.000000,129
129,joint_state,recv,14.876000,14.876000,0.000000,130
130,joint_state,recv,14.906000,14.906000,0.000000,131
131,joint_state,recv,14.936000,14.936000,0.000000,132
132,joint_state,recv,14.976000,14.976000,0.000000,133
133,joint_state,recv,15.006000,15.006000,0.000000,134
134,joint_state,recv,15.037000,15.037000,0.000000,135
135,joint_state,recv,15.076000,15.076000,0.000000,136
136,joint_state,recv,15.107000,15.107000,0.000000,137
137,joint_state,recv,15.136000,15.137000,0.001000,138
138,joint_state,recv,15.176000,15.176000,0.000000,139
139,joint_state,recv,15.206000,15.206000,0.000000,140
140,joint_state,recv,15.236000,15.237000,0.001000,141
141,joint_state,recv,15.267000,15.267000,0.000000,142
142,joint_state,recv,15.306000,15.306000,0.000000,143
143,joint_state,recv,15.336000,15.336000,0.000000,144
144,joint_state,recv,15.376000,15.376000,0.000000,145
145,joint_state,recv,15.406000,15.406000,0.000000,146
146,joint_state,recv,15.436000,15.436000,0.000000,147
147,joint_state,recv,15.476000,15.476000,0.000000,148
148,joint_state,recv,15.506000,15.506000,0.000000,149
149,joint_state,recv,15.536000,15.536000,0.000000,150
150,joint_state,recv,15.576000,15.576000,0.000000,151
151,joint_state,recv,15.606000,15.606000,0.000000,152
152,joint_state,recv,15.636000,15.637000,0.001000,153
153,joint_state,recv,15.676000,15.676000,0.000000,154
154,joint_state,recv,15.707000,15.707000,0.000000,155
155,joint_state,recv,15.736000,15.736000,0.000000,156
156,joint_state,recv,15.776000,15.776000,0.000000,157
157,joint_state,recv,15.806000,15.806000,0.000000,158
158,joint_state,recv,15.836000,15.836000,0.000000,159
159,joint_state,recv,15.867000,15.867000,0.000000,160
160,joint_state,recv,15.906000,15.907000,0.001000,161
161,joint_state,recv,15.936000,15.936000,0.000000,162
162,joint_state,recv,15.976000,15.976000,0.000000,163
163,joint_state,recv,16.006000,16.006000,0.000000,164
164,joint_state,recv,16.036000,16.036000,0.000000,165
165,joint_state,recv,16.076000,16.077000,0.001000,166
166,joint_state,recv,16.106000,16.106000,0.000000,167
167,joint_state,recv,16.136000,16.136000,0.000000,168
168,joint_state,recv,16.176000,16.176000,0.000000,169
169,joint_state,recv,16.206000,16.206000,0.000000,170
170,joint_state,recv,16.236000,16.236000,0.000000,171
171,joint_state,recv,16.277000,16.278000,0.001000,172
172,joint_state,recv,16.306000,16.306000,0.000000,173
173,joint_state,recv,16.337000,16.337000,0.000000,174
174,joint_state,recv,16.376000,16.376000,0.000000,175
175,joint_state,recv,16.406000,16.407000,0.001000,176
176,joint_state,recv,16.436000,16.436000,0.000000,177
177,joint_state,recv,16.476000,16.476000,0.000000,178
178,joint_state,recv,16.506000,16.506000,0.000000,179
179,joint_state,recv,16.536000,16.537000,0.001000,180
180,joint_state,recv,16.576000,16.576000,0.000000,181
181,joint_state,recv,16.606000,16.606000,0.000000,182
182,joint_state,recv,16.636000,16.636000,0.000000,183
183,joint_state,recv,16.676000,16.676000,0.000000,184
184,joint_state,recv,16.706000,16.706000,0.000000,185
185,joint_state,recv,16.736000,16.736000,0.000000,186
